l2_error,step,_runtime,loss,loss_boundary,time,_timestamp,loss_interior,_step
0.08708471713625007,30,204.85332942008972,0.007859729151192412,0.007736282135549624,202.41297221183777,1753644540.3812084,0.00012344701564278774,30
0.07849585813892461,31,211.36915802955627,0.006132881001237511,0.006034161358104356,208.928936958313,1753644546.897037,9.871964313315508e-05,31
0.07075343452676579,32,217.8850381374359,0.005220554756760997,0.0051366806658534455,215.4448139667511,1753644553.4129171,8.387409090755209e-05,32
0.06376966871134324,33,224.39966940879822,0.00411870074857036,0.004051899835047266,221.95953392982483,1753644559.9275484,6.680091352309331e-05,33
0.05746158156741006,34,230.91473627090454,0.003267046025348141,0.0032123357227610526,228.47445964813232,1753644566.4426153,5.471030258708868e-05,34
0.051764649429572714,35,237.42926836013794,0.002696942025140884,0.002652074512113023,234.98887586593628,1753644572.9571474,4.486751302786129e-05,35
0.0466456211328159,36,243.9446222782135,0.002209687745503031,0.0021726204207461416,241.50445818901062,1753644579.4725013,3.70673247568892e-05,36
0.042043766322502715,37,250.45983481407166,0.0017699474883421697,0.0017397726478960917,248.01964259147644,1753644585.9877138,3.0174840446077857e-05,37
0.03785653469853189,38,256.9732873439789,0.0014579608350649854,0.0014334102973147457,254.53300046920776,1753644592.5011663,2.4550537750239564e-05,38
0.03411249173162855,39,263.48614478111267,0.001192520879979787,0.0011721744448531602,261.0458335876465,1753644599.0140238,2.034643512662697e-05,39
0.03074833297985577,40,269.9983398914337,0.0009321189540914147,0.000915740036882607,267.55788922309875,1753644605.526219,1.6378917208807726e-05,40
0.024977074815388106,42,282.99901604652405,0.0006337571057013576,0.0006228347988965261,280.55866980552673,1753644618.526895,1.0922306804831457e-05,41
0.01645750521683676,46,308.99220848083496,0.00027240482806622395,0.0002677176996515597,306.551885843277,1753644644.5200875,4.687128414664209e-06,42
0.010830671508168561,50,334.98730969429016,0.00011653419230784347,0.00011437184781672974,332.5467836856842,1753644670.5151887,2.1623444911137317e-06,43
0.006421612597781823,55,367.47527861595154,4.248433624374632e-05,4.16478699461654e-05,365.0349774360657,1753644703.0031576,8.364662975809184e-07,44
0.0034477166737393065,61,406.45265650749207,1.1841167792803004e-05,1.1576090146376948e-05,404.0122060775757,1753644741.9805355,2.650776464260549e-07,45
0.0018538033411188326,67,445.4356441497803,3.5698029391258812e-06,3.490820265843497e-06,442.99511647224426,1753644780.9635231,7.89826732823845e-08,46
