_step,l2_error,loss_boundary,loss_interior,step,time,_runtime,_timestamp,loss
19,0.18489011375900719,0.038965122822833334,0.006502513230315117,19,130.45402336120605,130.8865783214569,1753918869.3010814,0.04546763605314845
20,0.1687084341983873,0.031476324459783996,0.005508123080311707,20,136.9502568244934,137.38262057304382,1753918875.7971237,0.0369844475400957
21,0.1539790296183162,0.025324170463329285,0.004760307004906564,21,143.44959926605225,143.88222217559814,1753918882.2967253,0.030084477468235848
22,0.14047631199745278,0.02272192640681456,0.004151196996753681,22,149.9461534023285,150.37872910499573,1753918888.7932322,0.02687312340356824
23,0.12814342052743166,0.018467801106322058,0.003271705452371225,23,156.44291925430298,156.87540698051453,1753918895.28991,0.02173950655869328
24,0.11697038141487145,0.01632470902018484,0.002549717466958752,24,162.94017958641052,163.37245965003967,1753918901.7869627,0.018874426487143593
25,0.10676177857737856,0.013793975793363177,0.002241238347883799,25,169.43714570999146,169.86956214904785,1753918908.2840652,0.016035214141246975
26,0.09744029425723125,0.011084115932963184,0.0018988688588603075,26,175.9342086315155,176.36669182777405,1753918914.781195,0.012982984791823492
27,0.08893405344935983,0.009536002607763272,0.0016295237565363625,27,182.43076395988464,182.86331605911255,1753918921.2778192,0.011165526364299634
28,0.0811843285111315,0.007675146902011173,0.0012290010504522218,28,188.927392244339,189.3599452972412,1753918927.7744484,0.008904147952463394
29,0.07411192307040558,0.00662744557292598,0.001070298540718164,29,195.42430138587952,195.8567614555359,1753918934.2712646,0.007697744113644144
30,0.06763946348978529,0.005483852503559181,0.0009222421535906801,30,201.92153906822205,202.35385704040527,1753918940.7683601,0.006406094657149862
31,0.06170644913175881,0.00445404348199493,0.0007720234153585646,31,208.41856598854065,208.8510959148407,1753918947.265599,0.005226066897353494
32,0.05632186539980449,0.0038630532040434926,0.0006167881854613132,32,214.9147012233734,215.34729933738708,1753918953.7618024,0.004479841389504806
33,0.051375279281226045,0.003111503157002683,0.0005349458045086996,33,221.41123056411743,221.84375047683716,1753918960.2582536,0.0036464489615113823
34,0.04687184799687253,0.002598641677243151,0.00043319416482409635,34,227.90787839889526,228.340345621109,1753918966.7548487,0.003031835842067247
35,0.04276411779373332,0.002165170157345661,0.0003687733893061029,35,234.40471649169922,234.8372344970703,1753918973.2517376,0.0025339435466517637
36,0.039037760068365936,0.001820707354278687,0.0003058553853091555,36,240.9010488986969,241.33337473869324,1753918979.7478778,0.0021265627395878426
37,0.03564486353559609,0.001479884790731103,0.0002465701818260195,37,247.39712929725647,247.82958841323853,1753918986.2440915,0.0017264549725571226
38,0.03256955384535111,0.0012585575571353194,0.00021398925718139149,38,253.8939471244812,254.326495885849,1753918992.740999,0.001472546814316711
39,0.02975026751330102,0.0010338604828759692,0.0001854084867466089,39,260.39187955856323,260.82430505752563,1753918999.2388082,0.001219268969622578
40,0.027173475849479885,0.0008297325216445113,0.00015014253641938076,40,266.887375831604,267.3198983669281,1753919005.7344015,0.000979875058063892
41,0.022656038514009907,0.0006184107776874023,0.00010051931627279931,42,279.8604702949524,280.29321002960205,1753919018.7077131,0.0007189300939602016
42,0.01579357041122392,0.00028570469551796317,5.193080654918363e-05,46,305.78304648399353,306.2156283855438,1753919044.6301315,0.0003376355020671468
43,0.011005032951876331,0.0001427349078570639,2.5248289658804845e-05,50,331.7053372859955,332.13773107528687,1753919070.5522342,0.00016798319751586875
44,0.006996077200496206,5.891155034421107e-05,1.0459219971244076e-05,55,364.10342264175415,364.53604912757874,1753919102.9505522,6.937077031545515e-05
45,0.004048095985761776,1.9421416472086638e-05,3.5093478787548413e-06,61,402.978586435318,403.41113114356995,1753919141.8256342,2.293076435084148e-05
46,0.0023663326513385916,6.937725660822839e-06,1.2028070970218922e-06,67,441.85144877433777,442.2840461730957,1753919180.6985493,8.140532757844732e-06
47,0.0013794971078581889,2.452546067807825e-06,4.407908222544107e-07,73,480.7242875099182,481.1569564342499,1753919219.5714595,2.8933368900622354e-06
