_runtime,loss_interior,time,_timestamp,loss_boundary,_step,l2_error,loss,step
276.78217339515686,3.2598031458361565e-09,274.0281891822815,1753635521.2114735,3.267382114860903e-09,38,5.823260120975783e-05,6.52718526069706e-09,38
283.7873558998108,3.005545605122079e-09,281.0330436229706,1753635528.216656,3.23190846298989e-09,39,4.704469322220337e-05,6.237454068111969e-09,39
290.79258394241333,4.3332869626030515e-09,288.0385766029358,1753635535.221884,2.1023691474753424e-09,40,4.8155156725155723e-05,6.4356561100783935e-09,40
304.7812337875366,4.193295969787657e-09,302.02712869644165,1753635549.2105339,1.9358284929751937e-09,41,4.419210080769329e-05,6.1291244627628515e-09,42
332.7360336780548,3.082432950237034e-09,329.98186898231506,1753635577.1653337,1.800491991916583e-09,42,4.685605449012759e-05,4.882924942153618e-09,46
360.69150948524475,3.3426333753268975e-09,357.93740010261536,1753635605.1208096,1.4945961131826583e-09,43,3.892260682097058e-05,4.837229488509556e-09,50
395.6321756839752,2.054629085364836e-09,392.8778831958771,1753635640.0614758,1.2730100792986547e-09,44,4.311246157278421e-05,3.327639164663491e-09,55
437.56707787513733,2.33896964004219e-09,434.8127212524414,1753635681.996378,1.4464761194139324e-09,45,3.287254020445283e-05,3.785445759456122e-09,61
479.50281596183777,1.611434493096202e-09,476.7485828399658,1753635723.932116,1.7223444042549021e-09,46,4.679649895893002e-05,3.333778897351104e-09,67
521.4371390342712,1.7921894047772201e-09,518.6827311515808,1753635765.866439,1.4724292286595475e-09,47,3.5324177779830986e-05,3.2646186334367677e-09,73
577.3358571529388,1.480989629969825e-09,574.581559419632,1753635821.7651572,7.706067432892167e-10,48,3.183734713056481e-05,2.2515963732590417e-09,81
633.2375025749207,1.3747331804493782e-09,630.483279466629,1753635877.6668026,1.2296341344984756e-09,49,3.1725359208976514e-05,2.6043673149478536e-09,89
696.1246945858002,1.224760032240628e-09,693.3704135417938,1753635940.5539947,5.480324075143805e-10,50,2.4528148707732712e-05,1.7727924397550083e-09,98
759.0136113166809,1.0010607462997447e-09,756.2590763568878,1753636003.4429114,9.871913043567367e-10,51,3.397530327426401e-05,1.9882520506564814e-09,107
835.8721799850464,1.039051329341563e-09,833.1177816390991,1753636080.30148,6.65116040609334e-10,52,2.619850915596406e-05,1.7041673699508969e-09,118
919.7119941711426,1.0378473510328809e-09,916.9577069282532,1753636164.1412942,4.2268331188025085e-10,53,2.202495738277902e-05,1.4605306629131318e-09,130
1010.5395314693451,6.705447781332674e-10,1007.7852611541748,1753636254.9688315,8.394446522022075e-10,54,2.797386361489849e-05,1.509989430335475e-09,143
1108.3525097370148,7.583566123677955e-10,1105.5981051921844,1753636352.7818098,4.544401216007112e-10,55,2.221552778211804e-05,1.2127967339685066e-09,157
1213.1503241062164,5.487362622672083e-10,1210.3957993984222,1753636457.5796242,5.01354227304789e-10,56,2.5283636934040302e-05,1.0500904895719973e-09,172
1338.9055864810944,6.527724486925572e-10,1336.151296377182,1753636583.3348866,4.6011338729205147e-10,57,2.0791808452080144e-05,1.1128858359846086e-09,190
1464.6567924022675,4.526240685774503e-10,1461.902450799942,1753636709.0860925,3.8020322454180257e-10,58,1.5208200478971453e-05,8.328272931192528e-10,208
1611.3607378005981,4.808478368445726e-10,1608.6064007282257,1753636855.7900379,5.681356828415175e-10,59,2.0771965110016405e-05,1.0489835196860901e-09,229
1772.0364835262299,3.134320337148635e-10,1769.2820868492126,1753637016.4657836,2.494533654090266e-10,60,1.61388627476925e-05,5.628853991238901e-10,252
1946.681615114212,3.2956702980687813e-10,1943.9270513057709,1753637191.1109152,1.8834868457454613e-10,61,1.5697136456756494e-05,5.179157143814243e-10,277
2142.2818682193756,2.6517847298248057e-10,2139.5275082588196,1753637386.7111683,1.4814961854066197e-10,62,1.3746910614393725e-05,4.1332809152314255e-10,305
2351.851767539978,2.433079431288091e-10,2349.0972576141357,1753637596.2810676,1.6162626751585657e-10,63,1.4690679657750353e-05,4.049342106446657e-10,335
2589.3596498966217,1.8750495682174042e-10,2586.605379343033,1753637833.78895,1.659890085924972e-10,64,1.1324907506095047e-05,3.5349396541423765e-10,369
2847.8301022052765,1.7034974926399238e-10,2845.075656414032,1753638092.2594023,1.7283034901933685e-10,65,1.3500195516215258e-05,3.431800982833292e-10,406
3008.50808262825,1.4604678744486062e-10,3005.7537298202515,1753638252.9373827,1.304254191542659e-10,66,1.0308809553560705e-05,2.7647220659912653e-10,429
