time,_runtime,loss_interior,_step,l2_error,_timestamp,loss_boundary,loss,step
1012.3132581710815,1014.8484637737274,2.036773733162838,44,0.3026839258750096,1744681925.2719047,0.030005001458250927,2.066778734621089,55
1120.514560699463,1123.0498793125153,0.016943206851586217,45,0.21854949301650034,1744682033.4733202,0.01737134816882651,0.034314555020412724,61
1228.7645769119263,1231.3002772331238,0.519095463840382,46,0.30028923997745915,1744682141.7237182,0.020097240977428977,0.5391927048178109,67
1337.017212152481,1339.5528044700623,0.0022237435623882734,47,0.10899880392197263,1744682249.9762454,0.006946319589783011,0.009170063152171285,73
1481.2920019626617,1483.8274970054626,0.00039089425703770734,48,0.06128044544322804,1744682394.250938,0.0016465616981433098,0.0020374559551810173,81
1625.5724864006042,1628.1079058647156,0.01231535804885793,49,0.06445055349618756,1744682538.5313468,0.0010455899190238776,0.013360947967881807,89
1787.9178416728973,1790.453325510025,0.0005289037490558581,50,0.0295341894142655,1744682700.8767664,0.001751172803532457,0.002280076552588315,98
1950.1981208324432,1952.7335031032562,0.0005843621255218309,51,0.024786520907143297,1744682863.156944,0.00015689704770414304,0.000741259173225974,107
2148.580283164978,2151.116137981415,0.00046004471226960083,52,0.01640435174045301,1744683061.539579,0.0009413692538192244,0.0014014139660888253,118
2364.9255497455597,2367.4608268737793,0.00018528208457661743,53,0.010605633508055228,1744683277.8842678,4.167831021867917e-05,0.00022696039479529662,130
2599.3654465675354,2601.902160167694,0.00010395287656070001,54,0.011912729284834875,1744683512.325601,2.8689346185692308e-05,0.00013264222274639233,143
2851.8608014583588,2854.396427631378,0.00022840143529311252,55,0.01076674989651669,1744683764.8198686,0.00012666839660094997,0.0003550698318940625,157
3122.363920211792,3124.899449825287,0.00010076595654549344,56,0.008227881969353932,1744684035.3228908,3.09580494264807e-05,0.00013172400597197414,172
3447.023389816284,3449.5596330165863,7.47198053732018e-05,57,0.016464278643818078,1744684359.983074,0.0002174535971753714,0.0002921734025485732,190
3771.579963207245,3774.115998506546,5.0841418504643704e-05,58,0.00720000565750957,1744684684.5394394,2.9104225157689562e-05,7.994564366233327e-05,208
4150.163618564606,4152.70000910759,3.0325861155619577e-05,59,0.004444319801684731,1744685063.12345,1.0980367623236708e-05,4.1306228778856286e-05,229
4564.983468770981,4567.518847942352,3.8670422814382655e-05,60,0.004400333892168816,1744685477.9422889,9.622673768721463e-06,4.829309658310412e-05,252
5015.8863961696625,5018.4215478897095,0.0001022666632777513,61,0.0071632598118699636,1744685928.8449888,1.2691958957489784e-05,0.00011495862223524108,277
5520.7923848629,5523.327941656113,0.0017920461022396758,62,0.016095268087342386,1744686433.7513826,8.138706108307564e-06,0.0018001848083479834,305
6061.7293066978455,6064.265706062317,9.564629690580273e-05,63,0.006258558049848119,1744686974.689147,1.3785814564409496e-05,0.00010943211147021223,335
6674.638006448746,6677.17475271225,2.094940252786266e-05,64,0.004277273988297542,1744687587.5981936,6.842599482049518e-06,2.779200200991218e-05,369
7017.167119026184,7019.702954053879,2.3082209856037445e-05,65,0.0036576443580827495,1744687930.126395,4.815783690874232e-06,2.7897993546911675e-05,388
