l2_error,_timestamp,loss,step,loss_boundary,loss_interior,_step,time,_runtime
0.4035060611693132,1744655041.2375183,0.12557030286697118,21,0.10512406841017269,0.02044623445679851,21,64.04326748847961,71.49932837486267
0.3596939668617263,1744655044.0683644,0.0797855460012944,22,0.06384382808478004,0.01594171791651436,22,66.87428116798401,74.33017444610596
0.3377455153820837,1744655046.8994958,0.06207578313023945,23,0.04579718045271967,0.01627860267751978,23,69.70555901527405,77.16130590438843
0.28921376696080886,1744655049.7332127,0.05510937583439346,24,0.0443911806225894,0.010718195211804057,24,72.53907585144043,79.99502277374268
0.27216725511756207,1744655052.5634105,0.037660009573092935,25,0.02791670348406269,0.009743306089030243,25,75.36944580078125,82.82522058486938
0.2584328034551009,1744655055.3963158,0.039868800364002095,26,0.033560890223016726,0.00630791014098537,26,78.20233154296875,85.65812587738037
0.22859307987942537,1744655058.2273085,0.0434178373124697,27,0.0367979043576191,0.006619932954850594,27,81.03336644172668,88.4891185760498
0.23506158250299852,1744655061.059473,0.03322301209233268,28,0.026645940743297493,0.006577071349035184,28,83.86552476882935,91.32128310203552
0.23648200837969247,1744655063.891839,0.0512648760682366,29,0.03965992318611841,0.01160495288211819,29,86.69790720939636,94.15364909172058
0.2889694127763153,1744655066.7247288,0.04014434922946109,30,0.027768348209478346,0.012376001019982744,30,89.53062844276428,96.98653888702393
0.24972326486751878,1744655069.5584354,0.04681984689336528,31,0.03844374897274613,0.008376097920619146,31,92.36441230773926,99.82024550437927
0.22959338820420444,1744655072.3895729,0.03620126637630854,32,0.029569040727116788,0.006632225649191756,32,95.19554805755615,102.65138292312622
0.18875653826714003,1744655075.222919,0.02853361647628004,33,0.023258211257562528,0.005275405218717515,33,98.02897548675537,105.48472905158997
0.14673811331277223,1744655078.0556848,0.02744980854591414,34,0.022553339445509003,0.004896469100405135,34,100.86168551445007,108.31749486923218
0.12315389235974306,1744655080.8893185,0.013239009000451208,35,0.00890930563898553,0.004329703361465678,35,103.69538259506226,111.15112853050232
