step,_runtime,l2_error,time,_timestamp,_step,loss_boundary,loss,loss_interior
33,481.78708124160767,0.0030189647748160445,479.17574667930603,1744754650.7569423,33,1.0349233888277583e-05,2.9918497199916022e-05,1.956926331163844e-05
34,495.84225487709045,0.0026037377569127222,493.2306363582611,1744754664.812116,34,5.484396827764553e-06,2.322772579475023e-05,1.7743328966985677e-05
35,509.8950538635254,0.0023623286247482157,507.28399872779846,1744754678.864915,35,4.1816170235306445e-06,1.8139730020112713e-05,1.395811299658207e-05
36,523.9531941413879,0.0021576921397409403,521.3416750431061,1744754692.9230552,36,3.40656189128922e-06,1.4979601689431362e-05,1.1573039798142142e-05
37,538.0104074478149,0.0019634882037228973,535.3988473415375,1744754706.9802685,37,2.5493097884452228e-06,1.2479602812194284e-05,9.930293023749062e-06
38,552.0675587654114,0.0017994881556457748,549.456384897232,1744754721.0374198,38,2.138243718126035e-06,1.0385987614794673e-05,8.247743896668639e-06
39,566.1247222423553,0.0016624955325547836,563.5136678218842,1744754735.0945833,39,2.052569017887483e-06,9.323553433455563e-06,7.270984415568081e-06
40,580.1427872180939,0.0015419094405577658,577.5312271118164,1744754749.1126482,40,1.6911577773189253e-06,7.4617343727657955e-06,5.77057659544687e-06
42,608.0993931293488,0.0013661325300161839,605.4883069992065,1744754777.0692542,41,1.2315969382274393e-06,5.384748954711195e-06,4.153152016483756e-06
46,663.9919967651367,0.0011193722653171198,661.3803980350494,1744754832.9618578,42,8.197878200923854e-07,3.229921581648898e-06,2.4101337615565125e-06
50,719.8867599964142,0.0009675498217546172,717.2755928039551,1744754888.856621,43,5.431793325884771e-07,1.838744624857486e-06,1.2955652922690088e-06
55,789.7470443248749,0.0007437805074186498,787.1355137825012,1744754958.7169054,44,3.2889985329930543e-07,9.967743278894787e-07,6.678744745901733e-07
61,873.577442407608,0.00040831861280968566,870.9660284519196,1744755042.5473034,45,1.0229133132063925e-07,3.1109702886716914e-07,2.088056975465299e-07
