_step,loss_interior,loss,step,time,_runtime,l2_error,loss_boundary,_timestamp
22,0.0008282335972689495,0.0008886373953701248,22,11.554815769195557,14.251506805419922,0.007228685923073302,6.0403798101175355e-05,1745446260.495561
23,0.000242124719534202,0.0002700293255310877,23,11.978992223739624,14.676029920578003,0.005074383160931297,2.7904605996885697e-05,1745446260.920084
24,9.554843374864552e-05,0.00010986168520042733,24,12.408567667007446,15.105419397354126,0.002323975008262779,1.4313251451781816e-05,1745446261.3494735
25,4.8489463225935945e-05,5.232066196084975e-05,25,12.835601091384888,15.532196283340454,0.00186833521421023,3.831198734913806e-06,1745446261.7762504
26,2.058807308479633e-05,2.308901924085904e-05,26,13.268607378005981,15.96529221534729,0.0017161470005165368,2.5009461560627116e-06,1745446262.2093463
27,1.3767411880303615e-05,1.568324303414771e-05,27,13.677356243133545,16.373963594436646,0.001465497830751024,1.9158311538440956e-06,1745446262.6180177
28,9.827602035311554e-06,1.135137670557427e-05,28,14.101343631744385,16.79807686805725,0.0012922995978441613,1.5237746702627155e-06,1745446263.042131
29,6.814699841411201e-06,8.110994418490493e-06,29,14.53177547454834,17.228355169296265,0.000958031667683362,1.2962945770792923e-06,1745446263.4724092
30,4.740650735099929e-06,5.584747343289768e-06,30,14.96376895904541,17.66037344932556,0.0007760243115666597,8.440966081898394e-07,1745446263.9044275
31,3.864948564345436e-06,4.4003079319824575e-06,31,15.395101308822632,18.09170913696289,0.0006962015304834918,5.353593676370218e-07,1745446264.3357632
32,2.9607783095494348e-06,3.6280430494974265e-06,32,15.824878692626953,18.52209973335266,0.0008616705680029801,6.672647399479919e-07,1745446264.7661538
33,2.1205779208316106e-06,2.7759355045639554e-06,33,16.260009288787842,18.956708192825317,0.0007226907355011013,6.553575837323449e-07,1745446265.2007623
34,1.8771084427062191e-06,2.495473507241087e-06,34,16.696619033813477,19.393452644348145,0.0005686919622642368,6.183650645348679e-07,1745446265.6375067
35,1.5454558639382454e-06,1.9377184998891034e-06,35,17.12536859512329,19.821990489959717,0.0005421977271189827,3.922626359508579e-07,1745446266.0660446
36,1.3505273766331148e-06,1.6866228865134827e-06,36,17.549587726593018,20.246345043182373,0.0005018918469389617,3.36095509880368e-07,1745446266.4903991
37,1.2473523505134772e-06,1.5635029891916316e-06,37,17.97708487510681,20.675617694854736,0.0004941273730125061,3.1615063867815434e-07,1745446266.9196718
38,1.1312578193842189e-06,1.4921797954859574e-06,38,18.410390615463257,21.107134580612183,0.00048599188942944266,3.6092197610173845e-07,1745446267.3511887
39,1.0350004369917516e-06,1.3331951028472295e-06,39,18.824191093444824,21.521026611328125,0.0004919997673798956,2.9819466585547785e-07,1745446267.7650807
40,1.1235127604420979e-06,1.500638763331139e-06,40,19.252142190933228,21.94888949394226,0.0004915330266269145,3.771260028890411e-07,1745446268.1929436
41,9.588996740001833e-07,1.2443336187743936e-06,42,20.065656185150146,22.762614011764526,0.00046338602484560765,2.8543394477421034e-07,1745446269.006668
42,8.68622293946752e-07,1.158818929391202e-06,46,21.695642232894897,24.39259934425354,0.0004403669517771487,2.9019663544444985e-07,1745446270.6366534
43,7.57493718251986e-07,1.0539327104898273e-06,50,23.34713315963745,26.043786764144897,0.00041274516865901374,2.964389922378415e-07,1745446272.2878408
44,6.12140138897932e-07,8.545139510388108e-07,55,25.460850715637207,28.157808303833008,0.0003920681074022895,2.423738121408788e-07,1745446274.4018624
45,5.641318743858136e-07,7.868356584039552e-07,61,28.000369787216187,30.697221279144287,0.00036884602032367643,2.2270378401814164e-07,1745446276.9412754
