l2_error,loss_interior,_timestamp,loss_boundary,step,loss,time,_runtime,_step
0.007223329833248063,9.889131309430016e-05,1744418347.706412,3.5477866673666785e-05,42,0.00013436917976796694,122.69017243385315,125.60831308364868,41
0.005328070147724885,6.333680576757519e-05,1744418364.2582924,2.1376534502856912e-05,46,8.47133402704321e-05,139.24201035499573,142.16019344329834,42
0.0039509024145305514,3.950928374435362e-05,1744418386.0735044,1.1694757893564722e-05,50,5.120404163791834e-05,161.05704617500305,163.97540545463562,43
0.003211837560186135,2.1419017057429463e-05,1744418414.3635538,5.447919549945026e-06,55,2.686693660737449e-05,189.3470423221588,192.26545476913452,44
0.002762008660264823,1.1974146413739491e-05,1744418444.8302727,6.021276557712426e-06,61,1.7995422971451917e-05,219.80230736732483,222.73217368125916,45
0.002558637875957887,7.893341514023115e-06,1744418485.1953146,4.778515086494373e-06,67,1.2671856600517489e-05,260.1787197589874,263.0972156524658,46
0.001730171886354989,4.067767296339709e-06,1744418525.8386354,2.7492421789023313e-06,73,6.81700947524204e-06,300.82209491729736,303.7405364513397,47
0.0016962815846567852,3.1566620469389504e-06,1744418580.7851765,1.8654329043190594e-06,81,5.022094951258009e-06,355.76864862442017,358.68707752227783,48
0.0010245442258429605,1.741100996779022e-06,1744418635.3928578,1.3635700248111646e-06,89,3.1046710215901866e-06,410.3763954639435,413.2947587966919,49
0.0007085297631681158,8.638508582114593e-07,1744418696.4525423,5.300770185697611e-07,98,1.3939278767812204e-06,471.43600702285767,474.3544433116913,50
0.0005234755092508863,6.536751197078447e-07,1744418758.2537274,3.245087388421047e-07,107,9.781838585499494e-07,533.2372047901154,536.1556284427643,51
0.00039355408348962825,4.771723566488079e-07,1744418833.625845,2.517819684922702e-07,118,7.289543251410781e-07,608.6088333129883,611.527745962143,52
0.00035591623433503793,3.41399095746724e-07,1744418915.529971,1.855355127844905e-07,130,5.269346085312145e-07,690.5132782459259,693.4318718910217,53
0.0003228974380027529,2.4825140811144157e-07,1744419004.2492018,1.4761996113735366e-07,143,3.9587136924879523e-07,779.2326347827911,782.1511027812958,54
0.0002709324032560546,2.1330079773676082e-07,1744419099.8246102,9.902289129013823e-08,157,3.1232368902689903e-07,874.808078289032,877.7265112400055,55
0.0002451689849075531,1.8582360788597517e-07,1744419201.9993932,9.882882896060094e-08,172,2.846524368465761e-07,976.9828019142151,979.9012942314148,56
0.00023568356818223134,1.5394360128608392e-07,1744419324.427172,7.30918676887807e-08,190,2.2703546897486462e-07,1099.4101474285126,1102.3290729522705,57
0.00020994380617926758,1.409937109802422e-07,1744419446.9069228,6.148757182087854e-08,208,2.0248128280112073e-07,1221.890275478363,1224.8088238239288,58
0.00020503020454112046,1.2317356919428489e-07,1744419588.9691973,5.3895152904538937e-08,229,1.7706872209882382e-07,1363.9527254104614,1366.871098279953,59
0.00018467538652521706,1.0077854300126288e-07,1744419745.1519845,4.74070722413467e-08,252,1.4818561524260957e-07,1520.135442018509,1523.0538854599,60
0.00017579530204518763,1.0026766505181541e-07,1744419916.0818715,3.9643816232216916e-08,277,1.3991148128403234e-07,1691.0653100013733,1693.9837725162506,61
0.00016258903350211524,8.93200419448429e-08,1744420107.4772842,3.879908636595473e-08,305,1.2811912831079764e-07,1882.4607198238373,1885.3791851997375,62
0.00016097739573248397,7.968099927312423e-08,1744420312.9124231,3.2777386104226114e-08,335,1.1245838537735035e-07,2087.8957974910736,2090.8143241405487,63
0.00014425219229784124,7.209154180018935e-08,1744420543.8895173,3.0016146921379745e-08,369,1.0210768872156909e-07,2318.8729617595673,2321.79141831398,64
0.00013591474826133866,6.400901282660463e-08,1744420797.3281147,2.779756786108259e-08,406,9.180658068768722e-08,2572.311529636383,2575.2300157546997,65
0.00012734071085677818,5.832832947942402e-08,1744421070.8544223,2.599661261700174e-08,446,8.432494209642576e-08,2845.8378562927246,2848.756323337555,66
0.00012342073569640775,5.071168240349911e-08,1744421378.598282,2.080275873050781e-08,491,7.151444113400691e-08,3153.581694126129,3156.5001831054688,67
0.00010696261597161326,5.0795841991104926e-08,1744421713.3284075,2.2988534042148047e-08,540,7.378437603325297e-08,3488.311810016632,3491.230308532715,68
0.0001092964811681486,4.497279207378043e-08,1744422063.5937388,1.569897163311156e-08,594,6.0671763706892e-08,3838.577172279358,3841.4956398010254,69
0.00010485598206670472,3.906772631479267e-08,1744422463.2206504,1.5221760138084875e-08,653,5.428948645287754e-08,4238.204079627991,4241.122551441193,70
9.731299361774065e-05,3.787046144396506e-08,1744422904.4586775,1.349203649877255e-08,718,5.136249794273761e-08,4679.442081451416,4682.360578536987,71
9.065659687377864e-05,3.230739146246233e-08,1744423381.5133018,1.214767775092645e-08,790,4.445506921338878e-08,5156.496799468994,5159.415202856064,72
8.902787304327321e-05,3.137113673648788e-08,1744423884.593692,1.1462533052385513e-08,869,4.28336697888734e-08,5659.577193975449,5662.495593070984,73
8.257151432823535e-05,2.7302425600136308e-08,1744424438.1979985,8.719484836902227e-09,956,3.6021910437038535e-08,6213.18154335022,6216.099899530411,74
8.141121503374379e-05,2.4535656525539847e-08,1744425050.5338457,8.649526840674834e-09,1052,3.318518336621468e-08,6825.5173971652985,6828.435746669769,75
7.664296430654125e-05,2.540015632920167e-08,1744425228.9885216,7.928370219214002e-09,1080,3.332852654841567e-08,7003.972058296204,7006.890422582626,76
