_step,_runtime,loss_boundary,_timestamp,loss_interior,step,l2_error,time,loss
19,137.7233922481537,1.695487281008958e-07,1744660156.9238791,5.644676982909622e-07,19,0.0005218922729812519,135.23212671279907,7.340164263918579e-07
20,144.1067135334015,1.907007433331981e-07,1744660163.3072004,4.3958001847757786e-07,20,0.0004464708057359563,141.61540937423706,6.302807618107759e-07
21,150.46114039421082,1.549334099124734e-07,1744660169.6616273,4.151820323414652e-07,21,0.00040303196950516174,147.96985983848572,5.701154422539385e-07
22,156.8663125038147,1.278552119094326e-07,1744660176.0667994,3.39478008360954e-07,22,0.00040075478981366566,154.37525701522827,4.6733322027038655e-07
23,163.24447441101074,1.1365602011910014e-07,1744660182.4449613,2.442435821330102e-07,23,0.0003698833922096449,160.75315809249878,3.5789960225211034e-07
24,169.57879781723022,1.2098617205269785e-07,1744660188.7792847,2.1450582777193594e-07,24,0.0003094358168408915,167.08750081062317,3.354919998246338e-07
25,176.00159311294556,9.22140427699247e-08,1744660195.20208,1.95200671166649e-07,25,0.0002626305830022058,173.51016879081726,2.874147139365737e-07
26,182.36629104614258,6.652298998709235e-08,1744660201.566778,1.9107929507883725e-07,26,0.00026897614340395487,179.8749566078186,2.576022850659296e-07
27,188.74980449676514,6.634448449711039e-08,1744660207.9502914,1.7659925225292747e-07,27,0.00024359815467712607,186.2584810256958,2.4294373675003786e-07
28,195.06972575187683,6.45151310392737e-08,1744660214.2702127,1.5291006935451656e-07,28,0.0002213535601657724,192.57837891578674,2.1742520039379026e-07
29,201.4546673297882,5.7106179885926446e-08,1744660220.6551542,1.5180246234361975e-07,29,0.00020926551250360982,198.96338176727295,2.089086422295462e-07
30,207.78003597259521,6.002978706865378e-08,1744660226.9805229,1.6411117507419636e-07,30,0.00019690550356277518,205.2886462211609,2.2414096214285014e-07
31,214.1976089477539,4.9397275425847793e-08,1744660233.3980958,1.4212381094386624e-07,31,0.00019433318532445488,211.70629858970642,1.9152108636971403e-07
32,220.67057132720947,4.994965990737403e-08,1744660239.8710582,1.5045326866332643e-07,32,0.00019311167447642308,218.17926216125488,2.0040292857070047e-07
33,227.06553077697754,5.469850052242643e-08,1744660246.2660177,1.34432103864331e-07,33,0.00019255483596006173,224.57416200637817,1.8913060438675743e-07
34,233.49278569221497,4.755690360379079e-08,1744660252.6932726,1.1355216936325016e-07,34,0.00019018592452439568,231.00142765045166,1.6110907296704096e-07
35,239.9229006767273,4.626233335140849e-08,1744660259.1233876,1.1086427058347144e-07,35,0.00018963000255045327,237.43152785301208,1.5712660393487994e-07
36,246.3555428981781,4.504071583854975e-08,1744660265.5560298,1.0847374423418711e-07,36,0.00018247275306881806,243.86420321464539,1.5351446007273687e-07
37,252.84639048576355,4.424677687223898e-08,1744660272.0468774,1.085796461469875e-07,37,0.00017919205929494152,250.35495018959045,1.5282642301922648e-07
38,259.2216432094574,4.642247477133216e-08,1744660278.42213,1.1299673195298387e-07,38,0.00017971315377844773,256.7303538322449,1.5941920672431604e-07
39,265.6231026649475,4.283826128515245e-08,1744660284.8235896,1.1248830409800952e-07,39,0.00017996673173077433,263.13177371025085,1.5532656538316195e-07
40,271.9840579032898,3.852566645390629e-08,1744660291.1845448,1.0461702220828443e-07,40,0.0001821011014543417,269.4927489757538,1.4314268866219072e-07
41,284.76751470565796,4.059361243731732e-08,1744660303.9680016,9.509592857597937e-08,42,0.00016614686806890264,282.2761788368225,1.356895410132967e-07
42,310.3401699066162,3.8041914493737923e-08,1744660329.5406568,9.345717388771563e-08,46,0.0001588509044384619,307.8488042354584,1.3149908838145357e-07
43,336.1864323616028,3.2577215491922113e-08,1744660355.3869193,7.856469982444404e-08,50,0.0001514267329871992,333.69512128829956,1.1114191531636616e-07
