_runtime,_timestamp,loss_boundary,l2_error,loss,time,_step,loss_interior,step
32.001853704452515,1743776476.3904276,2.4620883421091516e-07,0.0006957372855033657,8.201677129935382e-07,28.974170923233032,40,5.73958878782623e-07,40
33.21533250808716,1743776477.6039064,8.514953578415553e-08,0.00035116390161844157,4.855150992579637e-07,30.187654733657837,41,4.0036556347380813e-07,42
35.63353085517883,1743776480.0221047,6.227119239158408e-08,0.00031192385028711565,3.012157080880147e-07,32.60555386543274,42,2.389445156964306e-07,46
38.062230348587036,1743776482.4508042,4.579443774647285e-08,0.00031156366243209014,1.9312471181244323e-07,35.03425574302673,43,1.473302740659704e-07,50
41.09227538108826,1743776485.4808493,2.268510168023597e-08,0.00017499999550460628,1.080038294235704e-07,38.06441020965576,44,8.531872774333442e-08,55
44.73105311393738,1743776489.119627,1.874617847524283e-08,0.00016053349420541284,6.959795106399047e-08,41.70337438583374,45,5.085177258874764e-08,61
48.372254848480225,1743776492.7608287,1.7932949357794952e-08,0.00017234269736201508,4.787811648057293e-08,45.34455060958862,46,2.994516712277798e-08,67
52.008549213409424,1743776496.397123,1.075092388121904e-08,0.00011960825412087076,3.113234428705224e-08,48.980857849121094,47,2.03814204058332e-08,73
56.8573694229126,1743776501.2459433,5.735232409945573e-09,7.344305365912288e-05,2.2408558076075027e-08,53.82943344116211,48,1.6673325666129455e-08,81
61.684887647628784,1743776506.0734615,6.5431512189896205e-09,6.339976810465691e-05,1.7324768906784706e-08,58.6570839881897,49,1.0781617687795086e-08,89
67.11845684051514,1743776511.5070307,4.456720835500174e-09,6.626901748834577e-05,1.3231382803025205e-08,64.09081029891968,50,8.77466196752503e-09,98
72.55237746238708,1743776516.9409513,3.4965248742803286e-09,5.163353249331601e-05,1.1602065005980145e-08,69.52458190917969,51,8.105540131699817e-09,107
79.20436835289001,1743776523.5929422,3.7699594238088185e-09,5.193774660204367e-05,1.0920834194080668e-08,76.17639780044556,52,7.1508747702718505e-09,118
86.44827198982239,1743776530.8368459,4.320292009250535e-09,6.13304342817685e-05,9.675576306942374e-09,83.42044830322266,53,5.35528429769184e-09,130
94.28539490699768,1743776538.6739688,3.2669517626646996e-09,4.981735114014746e-05,8.190157310776504e-09,91.25759410858154,54,4.923205548111804e-09,143
102.74425554275513,1743776547.1328294,2.8429844792470482e-09,4.661401607163067e-05,6.570379198975651e-09,99.71648097038269,55,3.727394719728603e-09,157
