time,_step,l2_error,_runtime,_timestamp,loss_boundary,loss,step,loss_interior
61.78108549118042,42,0.005478667981486802,64.35433673858643,1743767583.1918347,2.041974355142635e-05,3.500581072505022e-05,46,1.4586067173623869e-05
66.89278244972229,43,0.0037511945435439657,69.46564173698425,1743767588.3031397,9.179657407996332e-06,1.3524028570963769e-05,50,4.3443711629674375e-06
73.28726267814636,44,0.002497279523139461,75.86009049415588,1743767594.6975884,3.703990738086654e-06,4.75487848167659e-06,55,1.0508877435899359e-06
80.95350003242493,45,0.000699303665778161,83.52662086486816,1743767602.3641188,2.715960373230107e-07,1.2057486252041356e-06,61,9.341525878811248e-07
88.62079811096191,46,0.0004922100204388421,91.19371604919434,1743767610.031214,2.195760930015117e-07,6.425270934037907e-07,67,4.22951000402279e-07
96.27658343315125,47,0.0005103031588148668,98.84947967529297,1743767617.6869776,1.405170737216593e-07,4.0528104036346936e-07,73,2.647639666418101e-07
106.49311947822571,48,0.0004308934172626665,109.06618666648865,1743767627.9036846,9.833129245060532e-08,2.534156508715032e-07,81,1.550843584208979e-07
116.70783162117004,49,0.00022582628715771066,119.28101468086243,1743767638.1185126,3.0846423530954897e-08,8.533500050121367e-08,89,5.4488576970258774e-08
128.20465970039368,50,0.00012986844299319944,130.77751445770264,1743767649.6150124,1.22616171694926e-08,3.616305833778757e-08,98,2.390144116829497e-08
139.71057176589966,51,8.171270421071002e-05,142.28345274925232,1743767661.1209507,5.0193469879778735e-09,2.084288096711222e-08,107,1.5823533979134346e-08
153.75636529922485,52,8.234567330287942e-05,156.32938480377197,1743767675.1668828,4.020354960805053e-09,1.3154756938369148e-08,118,9.134401977564096e-09
169.06242084503174,53,5.588023372173283e-05,171.63530373573303,1743767690.4728017,2.1849108580675375e-09,8.15874068898021e-09,130,5.9738298309126715e-09
185.63484716415405,54,3.941788111500621e-05,188.20812559127808,1743767707.0456235,9.726742407131765e-10,5.429884843152182e-09,143,4.457210602439006e-09
203.47427940368652,55,3.7024659055715326e-05,206.04714965820312,1743767724.8846476,8.371384658696844e-10,3.736598879303273e-09,157,2.899460413433588e-09
222.60412526130676,56,3.225666090563975e-05,225.17706608772278,1743767744.014564,7.298750078103249e-10,2.2914021581499298e-09,172,1.561527150339605e-09
245.57653999328613,57,2.3461171568116692e-05,248.14968061447144,1743767766.9871786,3.873651306247762e-10,1.1754888478345916e-09,190,7.881237172098154e-10
268.55972719192505,58,1.573231808619941e-05,271.13291335105896,1743767789.9704113,2.1719955390095944e-10,9.63383105383167e-10,208,7.461835514822076e-10
295.3779048919678,59,1.1738593887413207e-05,297.9507977962494,1743767816.7882957,1.734779187277724e-10,5.554662679677739e-10,229,3.8198834924000143e-10
324.70448088645935,60,8.215659622777484e-06,327.27758026123047,1743767846.1150782,5.74771979004342e-11,3.140497299107737e-10,252,2.5657253201033946e-10
356.62838554382324,61,7.90971157437638e-06,359.20149660110474,1743767878.0389946,4.529558494410251e-11,2.027011529050495e-10,277,1.57405567960947e-10
392.38157057762146,62,6.650101526216456e-06,394.95479702949524,1743767913.792295,3.82687007784666e-11,1.649171414404271e-10,305,1.2664844066196051e-10
430.6230936050415,63,5.03394858208754e-06,433.19621419906616,1743767952.0337121,2.3529756445170537e-11,1.1038653902110229e-10,335,8.685678257593175e-11
473.9527533054352,64,3.2623734114338114e-06,476.5259099006653,1743767995.3634079,1.2625285877951448e-11,8.832176020891698e-11,369,7.569647433096554e-11
520.9132959842682,65,3.0733844002007094e-06,523.4863500595093,1743768042.323848,8.668282211832237e-12,5.223552016615013e-11,406,4.35672379543179e-11
571.6800215244293,66,2.8538025295825756e-06,574.2531170845032,1743768093.090615,8.927395127574008e-12,4.2608778500805317e-11,446,3.368138337323131e-11
628.7808301448822,67,2.476113810459411e-06,631.3539578914642,1743768150.1914558,7.52199780275739e-12,3.246314998651871e-11,491,2.494115218376132e-11
690.9867215156555,68,1.87396746547613e-06,693.5597958564758,1743768212.3972938,5.596762057664063e-12,2.15855381623801e-11,540,1.5988776104716037e-11
