_runtime,time,_step,loss_interior,_timestamp,loss_boundary,loss,l2_error,step
58.10770225524902,55.200342416763306,40,1.136225013698362e-07,1743741546.1177433,6.221188462685601e-08,1.758343859966922e-07,0.0002562097156212373,40
60.668548345565796,57.7609076499939,41,9.545471502998077e-08,1743741548.6785893,4.235527176724022e-08,1.37809986797221e-07,0.0002103113401170731,42
65.78007578849792,62.87249755859375,42,5.617506215441247e-08,1743741553.7901168,2.3165608359849237e-08,7.934067051426171e-08,0.00018631768184680726,46
70.88851857185364,67.98114609718323,43,2.752571459236994e-08,1743741558.8985596,1.758863898900042e-08,4.511435358137036e-08,0.0001672555011219438,50
77.28322339057922,74.37575626373291,44,8.611045214599944e-09,1743741565.2932644,1.5460592514150234e-08,2.4071637728750178e-08,0.00015441166596409138,55
84.95031714439392,82.04266214370728,45,5.741553825535459e-09,1743741572.9603581,8.023759859334561e-09,1.376531368487002e-08,0.00011082898320483168,61
92.61412215232849,89.70672011375427,46,4.317939671617284e-09,1743741580.6241632,4.5332665805752595e-09,8.851206252192543e-09,8.137092633027283e-05,67
100.30028939247131,97.39293956756592,47,2.0112577729251416e-09,1743741588.3103304,2.6759732250859375e-09,4.687230998011079e-09,5.8357761049699366e-05,73
110.53644943237305,107.62885069847107,48,1.0534320649696244e-09,1743741598.5464904,1.697391886006517e-09,2.750823950976141e-09,5.0164164840823706e-05,81
120.76827383041382,117.8605604171753,49,8.447468328853013e-10,1743741608.7783148,1.0555637957131296e-09,1.9003106285984307e-09,3.890207493918256e-05,89
132.29180812835693,129.38438034057617,50,4.897190231411565e-10,1743741620.3018491,6.565960124934226e-10,1.1463150356345792e-09,3.1617455080471176e-05,98
143.80811834335327,140.90070581436157,51,3.89048406888276e-10,1743741631.8181593,3.517617114171018e-10,7.408101183053778e-10,2.261384056520388e-05,107
157.8672034740448,154.959538936615,52,3.329454056946926e-10,1743741645.8772445,2.581090201814259e-10,5.910544258761186e-10,1.8415522415331286e-05,118
173.21058440208435,170.30318474769592,53,2.330016371267505e-10,1743741661.2206254,1.9074095803452138e-10,4.237425951612719e-10,1.6353128309496336e-05,130
189.85208439826965,186.9442949295044,54,2.1155739716663828e-10,1743741677.8621254,1.3969628954784859e-10,3.512536867144869e-10,1.276967698784358e-05,143
207.75002479553223,204.84254932403564,55,1.9691021542465418e-10,1743741695.7600658,7.810630191125785e-11,2.75016517335912e-10,1.015689591349087e-05,157
226.9672336578369,224.05969524383545,56,1.2850470092790885e-10,1743741714.9772747,7.646386464284462e-11,2.0496856557075347e-10,9.84424131281005e-06,172
250.05690240859985,247.1492564678192,57,8.880156443275583e-11,1743741738.0669434,5.371957709588535e-11,1.4252114152864117e-10,7.774268264290834e-06,190
