l2_error,_timestamp,loss,loss_interior,time,loss_boundary,_step,_runtime,step
0.4364923479682395,1746061347.9367673,16.44638586328113,16.352982246680963,77.67587971687317,0.09340361660016629,44,80.25503444671631,55
0.5319713605770348,1746061356.0382097,13.049145005831331,12.92433878801101,85.77710556983948,0.12480621782032184,45,88.35647678375244,61
0.586091834476837,1746061364.1704144,6.5824211115543685,6.424821841511297,93.9095208644867,0.157599270043072,46,96.48868155479431,67
0.613229415446972,1746061372.2903173,5.431948499192514,5.261044526770409,102.02948904037476,0.17090397242210573,47,104.6085844039917,73
0.6040007297743315,1746061383.0775049,4.751276241022605,4.580994453273653,112.81640076637268,0.17028178774895233,48,115.39577198028564,81
0.5227681175448486,1746061393.8346405,2.7578896670459137,2.6269192191955315,123.5737509727478,0.1309704478503822,49,126.15290760993958,89
0.4013852194522798,1746061405.9429398,1.183989075848216,1.1052029131711285,135.6820170879364,0.07878616267708763,50,138.26120686531067,98
0.5479913819383899,1746061418.0595527,1.7701426438867167,1.6007452450676942,147.79820322990417,0.1693973988190225,51,150.37781977653503,107
0.14998536271601975,1746061432.8796093,0.2217209569354632,0.20689844246944913,162.61878442764282,0.01482251446601406,52,165.19787645339966,118
0.03977374822519641,1746061449.0264173,0.03150015703606378,0.030681959905442497,178.76522970199585,0.0008181971306212806,53,181.3446843624115,130
0.015001717400779864,1746061466.5335014,0.007648142648538667,0.007515887383626367,196.2723958492279,0.00013225526491229958,54,198.85176849365234,143
0.004044421928748176,1746061485.396028,0.0012861317879639988,0.0012760476769254027,215.1352128982544,1.0084111038596192e-05,55,217.7142951488495,157
0.004993193200290113,1746061505.6072116,0.0001477085220137948,0.00013165425360999564,235.34602761268616,1.6054268403799138e-05,56,237.92547869682312,172
0.004758359605306957,1746061529.7719383,2.524826770575816e-05,1.2068580094780078e-05,259.5111289024353,1.3179687610978083e-05,57,262.0902054309845,190
0.0021577504037579454,1746061553.9466538,6.317720216690072e-06,3.574968797765738e-06,283.68549132347107,2.742751418924334e-06,58,286.2649209499359,208
0.0017401241490620802,1746061582.1959817,3.02808348110602e-06,1.099893291025223e-06,311.9350597858429,1.928190190080797e-06,59,314.5142488479614,229
0.001539504476048128,1746061613.1157923,2.0914639235071626e-06,7.23683700995968e-07,342.8547339439392,1.3677802225111946e-06,60,345.434059381485,252
0.0008526062027905491,1746061646.742001,9.846125701801653e-07,5.48799449909637e-07,376.4809670448303,4.3581312027052827e-07,61,379.06026816368103,277
0.000574873157348171,1746061684.3695564,6.439883551474226e-07,4.1465667172413035e-07,414.1084611415863,2.2933168342329224e-07,62,416.68782353401184,305
0.0008309435651658057,1746061724.6548138,2.933109912881949e-06,2.0344651473071965e-06,454.3937191963196,8.986447655747525e-07,63,456.9730808734894,335
0.0011618055732817224,1746061770.3767695,1.1017516095895776e-05,9.800175205876103e-06,500.11572337150574,1.2173408900196733e-06,64,502.695036649704,369
0.0003160645759891075,1746061820.201151,5.684827789628888e-07,4.5977640696262604e-07,549.9400410652161,1.0870637200026277e-07,65,552.5194180011749,406
0.0001944664149963469,1746061874.0392015,7.806569608308142e-07,6.720967448174938e-07,603.7779977321625,1.0856021601332044e-07,66,606.3574686050415,446
0.00047752156574414485,1746061934.6402223,7.578521946857699e-07,6.051089888308564e-07,664.3791356086731,1.5274320585491354e-07,67,666.9584894180298,491
0.0005026461128642526,1746062000.6358395,3.191892023633847e-06,2.017818899490439e-06,730.3747334480286,1.1740731241434082e-06,68,732.9541065692902,540
0.0003102858178468699,1746062073.3966024,3.940938024994651e-06,3.8587828566889095e-06,803.1355285644531,8.215516830574173e-08,69,805.7148694992065,594
0.00014639487767780632,1746062152.7609031,3.0129988639654476e-07,2.6982707301948424e-07,882.4997615814209,3.147281337706051e-08,70,885.0791702270508,653
0.00017599273524443023,1746062240.2352748,9.950507605776598e-08,6.91650503578303e-08,969.9740650653839,3.034002569993567e-08,71,972.5535418987274,718
0.0001639238494321822,1746062337.1550806,7.779851947547925e-08,4.5885145622968844e-08,1066.8939836025238,3.191337385251041e-08,72,1069.4733476638794,790
0.0001643693614577405,1746062443.571552,7.152341125906186e-08,4.309384051040783e-08,1173.3103058338165,2.8429570748654027e-08,73,1175.8898191452026,869
0.00013632563387710014,1746062560.6105633,7.894134294365073e-08,5.73725341060738e-08,1290.3494591712952,2.1568808837576927e-08,74,1292.9288303852081,956
0.00012506552610876218,1746062689.8269732,6.488584336089102e-08,4.402306722193863e-08,1419.565907716751,2.0862776138952394e-08,75,1422.1452403068542,1052
0.00011683813221315737,1746062831.140131,4.871801006113673e-08,2.987027917272329e-08,1560.8788738250732,1.8847730888413443e-08,76,1563.458398103714,1157
