_runtime,_timestamp,time,loss_interior,loss_boundary,step,l2_error,loss,_step
59.89523410797119,1746065001.806554,56.95482611656189,7.143618816966211e-08,3.368855492377221e-08,39,0.00016155462740299062,1.0512474309343433e-07,39
61.279247760772705,1746065003.1905677,58.338828563690186,7.150567742896e-08,3.2209268364976525e-08,40,0.00015558031749706463,1.0371494579393651e-07,40
64.0252640247345,1746065005.936584,61.084858417510986,6.616228061553399e-08,3.2491712279495016e-08,42,0.00015489414515065857,9.865399289502901e-08,41
69.54960751533508,1746065011.4609275,66.60919189453125,5.9253124545090683e-08,2.8704016887981764e-08,46,0.00015167757833439927,8.795714143307244e-08,42
75.03127908706665,1746065016.942599,72.09083938598633,4.948207129471836e-08,3.024768940643735e-08,50,0.0001462677860333686,7.97297607011557e-08,43
81.87714719772339,1746065023.7884672,78.93665361404419,4.976336712545358e-08,2.760289733171614e-08,55,0.0001504634308794915,7.736626445716973e-08,44
90.0553879737854,1746065031.966708,87.11484146118164,4.316203363240824e-08,2.657596205998884e-08,61,0.00015055448302695652,6.973799569239707e-08,45
98.24653267860413,1746065040.1578526,95.30600571632385,4.244517329278641e-08,2.4136935843081484e-08,67,0.00012717884377814475,6.658210913586789e-08,46
106.42393064498901,1746065048.3352506,103.48352146148682,3.912523297971614e-08,2.3334222576457448e-08,73,0.00012750437109640422,6.245945555617359e-08,47
117.34126114845276,1746065059.2525811,114.40072917938232,3.616270246447928e-08,1.9225274211207642e-08,81,0.00011413745768198181,5.538797667568692e-08,48
128.2306056022644,1746065070.1419256,125.29007172584534,3.293187136808099e-08,1.924741832316759e-08,89,0.00011708887055569738,5.2179289691248576e-08,49
140.51269841194153,1746065082.4240184,137.57156014442444,3.026712310674174e-08,1.670131740530527e-08,98,0.00010485547194295202,4.696844051204701e-08,50
152.78605365753174,1746065094.6973736,149.8455729484558,2.9711233647533357e-08,1.5832956960184382e-08,107,0.00010618164553612663,4.554419060771774e-08,51
167.8115861415863,1746065109.722906,164.8706133365631,2.447269539536872e-08,1.4848008520880703e-08,118,9.654617530829976e-05,3.932070391624942e-08,52
184.17360615730286,1746065126.0849261,181.2328977584839,2.4640572611066054e-08,1.405238283702247e-08,130,9.401468793713845e-05,3.8692955448088526e-08,53
201.91799235343933,1746065143.8293123,198.97755813598633,2.0514898876811882e-08,1.2213855515703575e-08,143,8.762670838233798e-05,3.272875439251546e-08,54
221.04619812965393,1746065162.957518,218.10547375679016,1.9841694017170544e-08,1.1382509513199054e-08,157,8.752147261265446e-05,3.12242035303696e-08,55
241.54475212097168,1746065183.456072,238.60420513153076,1.631407234259241e-08,1.0448316480257768e-08,172,7.9082771762156e-05,2.676238882285018e-08,56
266.3136682510376,1746065208.2249882,263.3729453086853,1.4563725716719176e-08,9.455376902738342e-09,190,7.403759466130549e-05,2.401910261945752e-08,57
291.1244034767151,1746065233.0357234,288.18385195732117,1.4145023144896392e-08,8.255071586534543e-09,208,7.403630770687396e-05,2.2400094731430935e-08,58
320.0760495662689,1746065261.9873695,317.13537549972534,1.2549587955510512e-08,7.695881979461954e-09,229,6.72239067346402e-05,2.0245469934972465e-08,59
351.77686285972595,1746065293.6881828,348.83608627319336,9.851312394958563e-09,6.182384638104864e-09,252,6.393254804443535e-05,1.6033697033063427e-08,60
386.2207353115082,1746065328.1320553,383.28017258644104,1.025335026125505e-08,5.899933247982896e-09,277,6.146247907664622e-05,1.6153283509237948e-08,61
424.6536855697632,1746065366.5650055,421.71302580833435,8.267040988144747e-09,5.103361125680322e-09,305,5.797935406896338e-05,1.3370402113825069e-08,62
465.28244161605835,1746065407.1937616,462.34167885780334,7.68531090464026e-09,4.938685605716508e-09,335,5.4625817387296214e-05,1.262399651035677e-08,63
511.8172709941864,1746065453.728591,508.87657403945923,7.3508582721906794e-09,4.129205379397451e-09,369,5.362015965510305e-05,1.148006365158813e-08,64
562.5395023822784,1746065504.4508224,559.5988273620605,6.8172221949117205e-09,3.6844595783985056e-09,406,4.9645079530235496e-05,1.0501681773310227e-08,65
617.1984119415283,1746065559.109732,614.2577178478241,5.84345564147999e-09,3.079983453462367e-09,446,4.568832043266941e-05,8.923439094942357e-09,66
678.7355172634125,1746065620.6468372,675.7947986125946,5.219462021598891e-09,2.523800250385878e-09,491,4.159009631107993e-05,7.74326227198477e-09,67
745.6788687705994,1746065687.5901887,742.7382497787476,4.25862307438156e-09,2.6161605440855043e-09,540,4.037970517065939e-05,6.8747836184670645e-09,68
818.4183287620544,1746065760.3296487,815.4776511192322,3.904881936489216e-09,1.9707422122344604e-09,594,3.526740550031061e-05,5.875624148723676e-09,69
898.6497662067413,1746065840.5610862,895.7089927196503,3.683798311462789e-09,1.795958640600359e-09,653,3.288830216644407e-05,5.479756952063148e-09,70
987.3606991767883,1746065929.2720191,984.4200127124786,2.8473265246655585e-09,1.5636275012928446e-09,718,3.165976303300141e-05,4.410954025958403e-09,71
1085.7463319301605,1746066027.657652,1082.8056647777557,2.4546943908796138e-09,1.368566912475632e-09,790,2.86239032915786e-05,3.823261303355246e-09,72
1192.8189034461975,1746066134.7302234,1189.8779742717743,2.288076477755043e-09,1.0259594793292382e-09,869,2.6250547489863098e-05,3.314035957084281e-09,73
1310.1809594631195,1746066252.0922794,1307.2403004169464,1.9082157351384985e-09,8.866161188255088e-10,956,2.3717195219542307e-05,2.794831853964007e-09,74
1440.5333230495453,1746066382.444643,1437.5926930904388,1.7787073594189577e-09,7.844370230228553e-10,1052,2.1912456316824217e-05,2.563144382441813e-09,75
1581.3747789859772,1746066523.286099,1578.4340183734894,1.5069588660010467e-09,6.895453986181717e-10,1157,2.0100579741335434e-05,2.1965042646192185e-09,76
1737.3877744674683,1746066679.2990944,1734.4471397399902,1.2998957773359782e-09,5.727826397913421e-10,1272,1.8808302831976018e-05,1.8726784171273202e-09,77
1910.2952094078064,1746066852.2065294,1907.353605747223,1.154805992644648e-09,5.120528583427173e-10,1400,1.747146097169401e-05,1.6668588509873652e-09,78
