time,l2_error,loss_interior,_step,_timestamp,loss_boundary,step,_runtime,loss
17.127634048461914,0.0003976750939750168,4.6397349736335207e-07,42,1743760185.7711267,1.5535266218571813e-07,46,19.79625678062439,6.193261595490702e-07
18.418746948242188,0.0004009612958054735,3.303084599018156e-07,43,1743760187.0622494,8.164685308475881e-08,50,21.087379455566406,4.1195531298657446e-07
20.023192167282104,0.000395516019578511,2.5986115683921844e-07,44,1743760188.6666572,8.768582033527579e-08,55,22.691787242889404,3.4754697717449424e-07
21.949934244155884,0.00035003811140941484,1.8978310870901922e-07,45,1743760190.5934274,6.560963017530506e-08,61,24.618557453155518,2.5539273888432425e-07
23.88091230392456,0.00013181217166929087,1.2048813706115245e-07,46,1743760192.5246263,1.9050572276873536e-08,67,26.549756288528442,1.39538709338026e-07
25.80521845817566,0.0001393522008120474,7.670001628003624e-08,47,1743760194.4489017,1.612700402257679e-08,73,28.474031686782837,9.282702030261302e-08
28.375995635986328,0.00010281976595348736,5.652963864174317e-08,48,1743760197.0195472,1.1410161802846811e-08,81,31.044677257537842,6.793980044458998e-08
30.939879655838013,9.849501213382016e-05,3.8991655001455377e-08,49,1743760199.583346,1.0417022415064108e-08,89,33.60847592353821,4.940867741651949e-08
33.82472538948059,0.00011993104103405017,2.5682546806856646e-08,50,1743760202.4682384,1.163136558372551e-08,98,36.49336838722229,3.7313912390582156e-08
36.72362947463989,0.00010405948494044656,1.9670307008053535e-08,51,1743760205.3671236,8.707441985924943e-09,107,39.39225363731384,2.8377748993978476e-08
40.25616121292114,7.041243942613333e-05,1.7757294450493347e-08,52,1743760208.8996787,6.613853417947812e-09,118,42.924808740615845,2.437114786844116e-08
44.10173225402832,6.380605081009968e-05,1.5126157556163216e-08,53,1743760212.7455053,5.766114678257683e-09,130,46.77063536643982,2.0892272234420898e-08
48.27025270462036,6.341728451560446e-05,1.0840333399301238e-08,54,1743760216.9137716,5.939000206784502e-09,143,50.93890166282654,1.677933360608574e-08
52.75264239311218,5.983585235969157e-05,1.002387010751115e-08,55,1743760221.3961287,5.823018838461208e-09,157,55.42125868797302,1.5846888945972358e-08
57.55638265609741,5.8767056460488176e-05,6.796016975593967e-09,56,1743760226.199885,4.976716528739021e-09,172,60.22501492500305,1.1772733504332989e-08
63.328174114227295,5.2710150614749136e-05,7.928375903314823e-09,57,1743760231.9719038,4.092547489220248e-09,190,65.9970338344574,1.202092339253507e-08
69.0958423614502,5.1558052614757206e-05,7.155775008390012e-09,58,1743760237.7394197,4.126676590441709e-09,208,71.76454973220825,1.128245159883172e-08
75.82769680023193,5.213996869656608e-05,6.88344877975674e-09,59,1743760244.471165,3.654601134564169e-09,229,78.49629497528076,1.053804991432091e-08
83.1961145401001,4.7296813994680304e-05,6.395493632583402e-09,60,1743760251.8395884,6.346748703529036e-09,252,85.86471843719482,1.2742242336112438e-08
91.2066216468811,4.63752752756984e-05,5.653401344138957e-09,61,1743760259.8501248,3.3381420753680574e-09,277,93.87525486946106,8.991543419507015e-09
100.1902403831482,5.191165234764469e-05,5.497911917345486e-09,62,1743760268.833792,3.536742000538731e-09,305,102.8589220046997,9.034653917884217e-09
109.82623600959778,4.243929242860244e-05,4.943740901911048e-09,63,1743760278.4699988,2.2868744511678506e-09,335,112.49512887001038,7.230615353078899e-09
120.77357625961304,4.959359473116251e-05,3.526180626680396e-09,64,1743760289.4170334,3.806133254881519e-09,369,123.44216346740723,7.332313881561916e-09
132.64053773880005,3.641134153666109e-05,4.059772072558008e-09,65,1743760301.2840521,1.8353025411338769e-09,406,135.30918216705322,5.895074613691885e-09
145.4846122264862,4.499981780719029e-05,4.445275435034837e-09,66,1743760314.1281567,2.849449490561131e-09,446,148.15328669548035,7.2947249255959685e-09
159.96258091926575,3.590346440943444e-05,2.6178207978113113e-09,67,1743760328.6062999,2.1663063159462317e-09,491,162.6314299106598,4.784127113757543e-09
175.68961310386658,3.1519035656626165e-05,2.774101244277831e-09,68,1743760344.3331156,1.6244854523348218e-09,540,178.3582456111908,4.398586696612653e-09
