loss,time,_timestamp,step,_runtime,loss_boundary,_step,loss_interior,l2_error
73.24423804776715,3.1183910369873047,1743746043.4037023,50,6.1855762004852295,0.35720648618501005,43,72.88703156158215,0.7710973496812429
57.27345962530464,3.202951669692993,1743746043.4883788,55,6.270252704620361,0.40042827514048956,44,56.87303135016415,0.8329414912253045
49.29364630116287,3.2920217514038086,1743746043.577427,61,6.359300851821899,0.5563781844488662,45,48.737268116714006,0.9272707377538743
38.49002171405184,3.3904354572296143,1743746043.675785,67,6.457659006118774,0.4299167518768545,46,38.06010496217499,0.7345424066039643
28.397343495327956,3.4797744750976562,1743746043.7652864,73,6.547160387039185,0.2796468445225773,47,28.117696650805378,0.6008763656287318
31.46056778815907,3.5972900390625,1743746043.8828795,81,6.664753437042236,0.3831823480027908,48,31.07738544015628,0.7467854346726209
28.656970819113933,3.715646266937256,1743746044.0011332,89,6.7830071449279785,0.5349525565322968,49,28.122018262581637,0.8573491213789021
27.116487341735898,3.8411645889282227,1743746044.127125,98,6.908998966217041,0.48453424220126373,50,26.631953099534634,0.8424621135243607
22.30591222525793,3.9693002700805664,1743746044.2546723,107,7.036546230316162,0.5794808320486315,51,21.7264313932093,0.9410248991342739
23.326978315910104,4.121527433395386,1743746044.4071436,118,7.1890175342559814,0.7436184971235671,52,22.583359818786537,0.9867752221584749
22.63245819307774,4.317857503890991,1743746044.6034355,130,7.385309457778931,0.7560522838415428,53,21.876405909236194,1.0473394887860887
21.973131196624596,4.5094990730285645,1743746044.795143,143,7.577016830444336,0.7687713460631965,54,21.2043598505614,1.087816227849142
19.66069352129832,4.716871976852417,1743746045.0027592,157,7.784633159637451,0.8828624691730829,55,18.777831052125237,1.1170139993982677
16.51637372225147,4.928802728652954,1743746045.2142503,172,7.996124267578125,0.8910110512019249,56,15.625362671049544,1.1482123696321704
13.732418007714637,5.192495584487915,1743746045.4779098,190,8.259783744812012,0.9119966331285165,57,12.82042137458612,1.1942828471244913
13.354375629831761,5.460427522659302,1743746045.746023,208,8.527896881103516,1.0031332187824458,58,12.351242411049315,1.221036387157867
12.73489136688007,5.756092548370361,1743746046.0417383,229,8.823612213134766,1.001326488496478,59,11.733564878383593,1.2297669688140827
9.62446507880934,6.074722528457642,1743746046.3603773,252,9.142251253128052,0.8665921473148274,60,8.757872931494513,1.2411906350926087
9.217912110087955,6.4408955574035645,1743746046.7267532,277,9.50862717628479,1.0143151886187676,61,8.203596921469186,1.2484127879929356
8.264096387309541,6.83339786529541,1743746047.1190734,305,9.900947332382202,1.096634721968352,62,7.167461665341189,1.2306753404820037
5.499041058010056,7.265974998474121,1743746047.551941,335,10.333814859390259,1.0348011855496961,63,4.46423987246036,1.165875056782641
3.8365201075774045,7.751562595367432,1743746048.0374267,369,10.819300651550293,0.9706831593047528,64,2.865836948272652,1.151339270875677
3.067828891561479,8.2726571559906,1743746048.5581903,406,11.340064287185669,0.7269084413071968,65,2.340920450254282,1.1171457822791644
2.8812621252274226,8.83824372291565,1743746049.123757,446,11.905630826950073,0.8645071271099221,66,2.016754998117501,1.1401492089624934
2.152362257755742,9.496128559112549,1743746049.7821703,491,12.56404423713684,0.9332102701190979,67,1.2191519876366446,1.158481187148263
2.1149383356693066,10.18441390991211,1743746050.4702218,540,13.252095699310303,0.9135836869239401,68,1.2013546487453666,1.1435401432679682
1.7464112503087328,10.955693006515503,1743746051.241499,594,14.023372888565063,0.9227036625298761,69,0.8237075877788567,1.122982669061552
1.549371266143178,11.785922050476074,1743746052.0717535,653,14.853627443313599,0.7857944646234589,70,0.7635768015197191,1.0736437066104108
1.4021316544834201,12.716010808944702,1743746053.0017476,718,15.783621549606323,0.7445110009265632,71,0.6576206535568571,1.0179716360427606
1.1059370948121363,13.730578422546387,1743746054.0163867,790,16.79826068878174,0.6144021169118735,72,0.4915349779002628,0.9582338724748368
0.9754402635929851,14.847544431686401,1743746055.1333442,869,17.915218114852905,0.5277541248454028,73,0.44768613874758223,0.903417533126707
0.8736778127728129,16.077325344085693,1743746056.3631513,956,19.1450252532959,0.48268374073051806,74,0.3909940720422948,0.8420873614597687
0.758152625446413,17.457879066467285,1743746057.7435045,1052,20.525378465652466,0.4341979404904723,75,0.32395468495594076,0.7834365500029102
0.6326124700710791,19.051665544509888,1743746059.3377564,1157,22.119630336761475,0.34311555002675465,76,0.28949692004432453,0.7159801289361818
0.5793879614928885,20.65619397163391,1743746060.9422956,1272,23.724169492721558,0.3433090383617213,77,0.23607892313116724,0.6709884119942368
0.4903541156737888,22.51503324508667,1743746062.8014371,1400,25.583311080932617,0.2560002563000877,78,0.23435385937370107,0.6154876968593743
0.4392384827252612,24.647642135620117,1743746064.9335895,1539,27.715463399887085,0.22655594431488538,79,0.21268253841037585,0.5547297597442639
0.33129642428456424,26.77141809463501,1743746067.0579152,1693,29.839789152145386,0.15991691406147931,80,0.17137951022308492,0.4945608096623214
0.2745718516379506,29.32630467414856,1743746069.6123037,1863,32.39417767524719,0.12024643435130392,81,0.15432541728664673,0.4007035105497829
0.17834983290441908,32.067893743515015,1743746072.3541892,2049,35.13606309890747,0.05609162078064902,82,0.12225821212377005,0.2895376112419301
0.11394286976655134,35.15835094451904,1743746075.4444015,2254,38.22627544403076,0.031032168094598817,83,0.08291070167195252,0.18781682050762227
