_step,_runtime,loss_boundary,loss_interior,l2_error,_timestamp,step,time,loss
21,8.167373180389404,3.2798272300770575e-05,8.025016277905072e-07,0.006859372275689662,1753913670.13664,21,5.429341077804565,3.360077392856108e-05
22,8.386833429336548,3.853947415638945e-05,8.467944438632178e-07,0.006529119506048717,1753913670.3561003,22,5.64877462387085,3.938626860025267e-05
23,8.607839107513428,2.343555229982932e-05,1.1284868281070077e-06,0.006454281913402897,1753913670.577106,23,5.869799852371216,2.4564039127936328e-05
24,8.827962875366211,3.026623114461541e-05,1.519631570221634e-06,0.00774713375058238,1753913670.7972298,24,6.089944362640381,3.178586271483704e-05
25,9.048972845077515,3.294524509325613e-05,1.894163423119277e-06,0.007606934757410548,1753913671.0182397,25,6.31092643737793,3.483940851637541e-05
26,9.268692016601562,3.340834643102173e-05,3.686396803900879e-06,0.006096933075929414,1753913671.237959,26,6.530680179595947,3.709474323492261e-05
27,9.487072467803955,2.941085865054407e-05,5.389300277609741e-06,0.005800069935296812,1753913671.4563394,27,6.748710870742798,3.480015892815381e-05
28,9.706475019454956,2.199108630477281e-05,3.650493297523603e-06,0.005384311642879377,1753913671.675742,28,6.968470335006714,2.5641579602296412e-05
29,9.926773071289062,1.543977022442442e-05,3.1189818455171795e-06,0.005032854018214758,1753913671.89604,29,7.188733816146851,1.85587520699416e-05
30,10.149478912353516,1.8117685912922644e-05,2.258403092307439e-06,0.0045042462905239495,1753913672.1187458,30,7.411431789398193,2.0376089005230082e-05
31,10.371401071548462,1.4859087462391619e-05,1.3102114760540615e-06,0.005342308153214318,1753913672.340668,31,7.633364200592041,1.616929893844568e-05
32,10.592617750167847,2.0183510077962686e-05,1.1073795902915185e-06,0.005104361049290613,1753913672.5618846,32,7.854570150375366,2.1290889668254206e-05
33,10.81400179862976,1.875441313653568e-05,9.380977991259541e-07,0.0044888303439427285,1753913672.7832687,33,8.075969934463501,1.9692510935661636e-05
34,11.035398960113525,1.3428539036793751e-05,1.5533381058428413e-06,0.004522660371823236,1753913673.0046659,34,8.297366857528687,1.4981877142636593e-05
35,11.256657123565674,1.5129948418186133e-05,1.458789139965218e-06,0.00399055707901025,1753913673.225924,35,8.518659591674805,1.658873755815135e-05
36,11.47651195526123,7.451333366097967e-06,1.2390306750735088e-06,0.003994951008142636,1753913673.4457788,36,8.738494634628296,8.690364041171475e-06
37,11.69761061668396,1.116000558206784e-05,7.306868052091568e-07,0.004295572621957286,1753913673.6668775,37,8.959582567214966,1.1890692387276997e-05
38,11.920336246490479,1.4576168061300683e-05,4.5637209870127387e-07,0.003758073469967007,1753913673.8896031,38,9.182168245315552,1.5032540160001957e-05
39,12.141921281814575,1.0435974309125076e-05,2.564617569365231e-07,0.003868900531694155,1753913674.1111882,39,9.403892993927002,1.0692436066061598e-05
40,12.363969564437866,9.635277731562419e-06,5.91867386358111e-07,0.0034555324865442228,1753913674.3332365,40,9.625936269760132,1.0227145117920529e-05
41,12.801910877227783,7.650867891332328e-06,2.6106190052488243e-07,0.004043697906136179,1753913674.7711778,42,10.063851356506348,7.91192979185721e-06
42,13.673734188079834,1.1877510388339687e-05,2.3647209055259298e-07,0.005018017052791615,1753913675.643001,46,10.935702085494995,1.211398247889228e-05
43,14.543680906295776,9.490092175781804e-06,8.050467797662706e-07,0.003784685426624808,1753913676.5129478,50,11.805635213851929,1.0295138955548074e-05
