loss,loss_boundary,time,_runtime,l2_error,step,_step,_timestamp,loss_interior
66.41798037112224,27.766485739485546,19.860997915267944,22.491734504699707,8.565074294553511,61,45,1753932734.4732206,38.651494631636695
64.3399247794095,28.310675467331095,21.7218279838562,24.352837324142456,8.048452100329737,67,46,1753932736.3343234,36.0292493120784
61.3170030141619,19.651314776968267,23.589009761810303,26.219820499420166,6.9266412580070975,73,47,1753932738.2013066,41.665688237193635
37.07160700552906,10.313786387847923,26.070977210998535,28.70176863670349,5.653482066656661,81,48,1753932740.6832547,26.757820617681134
39.103063743844274,14.418269943960837,28.548327922821045,31.17948007583618,5.376841213297205,89,49,1753932743.1609662,24.684793799883437
34.32800566732688,10.066544210459401,31.31585931777954,33.94669508934021,5.849241092342236,98,50,1753932745.9281812,24.261461456867476
37.40676261849714,10.744963090457727,34.08355498313904,36.714282751083374,5.853763697071313,107,51,1753932748.6957688,26.66179952803941
28.39926242417852,9.177958716241413,37.481253147125244,40.11219668388367,5.468176417732396,118,52,1753932752.0936828,19.221303707937107
26.04357066142656,6.488608176542534,41.18278980255127,43.81354522705078,4.922674231107495,130,53,1753932755.7950313,19.554962484884026
23.985860732264424,10.352376108419703,45.19568848609924,47.826420068740845,5.635169592756842,143,54,1753932759.8079062,13.633484623844721
14.918199022951399,6.211448027730926,49.512338161468506,52.14335799217224,4.571011738813615,157,55,1753932764.124844,8.706750995220473
15.52266239658426,4.896165190351005,54.14096117019653,56.77189588546753,3.445607900170462,172,56,1753932768.753382,10.626497206233253
13.566290396489672,4.422241992522645,59.703896045684814,62.33485126495361,4.405977415993711,190,57,1753932774.3163373,9.144048403967027
9.395288539529906,2.674789817291513,65.26379537582397,67.89454889297485,2.8118283447085712,208,58,1753932779.876035,6.720498722238393
8.753965099734366,2.589196130987413,71.7399685382843,74.37074160575867,2.835975514995079,229,59,1753932786.3522277,6.1647689687469525
5.326836575208444,1.876132959104856,78.79008626937866,81.42112517356873,3.0105835282562157,252,60,1753932793.4026113,3.450703616103588
6.192259316697403,1.4275761993374516,86.38195991516113,89.01271295547485,3.222035839047002,277,61,1753932800.994199,4.764683117359952
3.617920380490981,0.9120810681574998,94.97557044029236,97.60646605491638,2.390176205788237,305,62,1753932809.5879521,2.7058393123334814
2.6911499579357305,0.7007503367691689,104.2389190196991,106.86971354484558,1.8685712181758212,335,63,1753932818.8511996,1.9903996211665616
2.4136368200011296,0.569582051978614,114.73809862136841,117.36909794807434,1.7916930912726554,369,64,1753932829.350584,1.8440547680225154
1.5195862365074344,0.4282045887737356,126.1570954322815,128.78782725334167,1.616122138704822,406,65,1753932840.7693133,1.0913816477336988
1.339761925906826,0.36475217786644876,138.513742685318,141.1447081565857,1.1026395817813495,446,66,1753932853.1261942,0.9750097480403774
1.2578427227413165,0.34621560616864616,152.33676433563232,154.96748971939087,1.320691294591469,491,67,1753932866.9489758,0.9116271165726703
0.8173872062463078,0.22507949662600182,167.25608038902283,169.8870086669922,0.9831091127804282,540,68,1753932881.8684947,0.592307709620306
0.8777516036749733,0.18911169328195462,183.93490195274353,186.5656898021698,1.2376356291557764,594,69,1753932898.547176,0.6886399103930186
0.5731848911457911,0.20144431892962134,201.93008375167847,204.5610694885254,0.8089788393564693,653,70,1753932916.5425556,0.3717405722161697
0.4692766526573465,0.15027256211687426,221.64826893806458,224.27907013893127,0.748298659366561,718,71,1753932936.2605562,0.31900409054047224
