loss_interior,loss,step,_runtime,loss_boundary,time,_step,l2_error,_timestamp
26.40703288370344,29.629667356772035,27,508.48922204971313,3.2226344730685943,505.844979763031,27,3.425675591342495,1744674473.454744
25.21232940472325,27.910724670391776,28,526.513739824295,2.6983952656685273,523.8692965507507,28,3.253468083069517,1744674491.4792619
21.76923877165146,23.88223631866059,29,544.5392208099365,2.112997547009128,541.8949899673462,29,3.1272712508157943,1744674509.5047429
17.966016433044114,20.0162253950929,30,562.5613315105438,2.0502089620487842,559.9172520637512,30,2.836455552795437,1744674527.5268536
16.654417355271416,18.199521798319996,31,580.5846598148346,1.5451044430485779,577.9406657218933,31,2.7070734065723085,1744674545.5501819
13.861742898376944,15.177253692715746,32,598.602383852005,1.315510794338803,595.9583537578583,32,2.620792366617145,1744674563.567906
9.954489328504794,11.150310754869299,33,616.6245839595795,1.1958214263645048,613.9803278446198,33,2.5071045579179994,1744674581.590106
8.849352821527669,9.834079811530623,34,634.6423664093018,0.9847269900029546,631.9981505870819,34,2.399845518142918,1744674599.6078885
7.6003698543394,8.507478598230584,35,652.6650764942169,0.9071087438911848,650.0213520526886,35,2.153680516030037,1744674617.6305985
6.832822314624399,7.572193215385971,36,670.6882519721985,0.7393709007615717,668.0444996356964,36,2.0546089817880855,1744674635.653774
6.312925510116185,6.936322483776914,37,688.7076532840729,0.6233969736607293,686.0639922618866,37,2.0485819629618494,1744674653.6731753
4.825323531307474,5.332733053943201,38,706.7375166416168,0.5074095226357271,704.0932049751282,38,1.9263081295205313,1744674671.7030387
4.535104413610358,4.941444717699029,39,724.7611739635468,0.4063403040886709,722.117036819458,39,1.802192068281946,1744674689.726696
3.2017527226953666,3.656053430696691,40,742.7850604057312,0.4543007080013246,740.1405262947083,40,1.686998737834009,1744674707.7505825
2.5827636698754235,2.886784309376709,42,778.8116552829742,0.3040206395012856,776.1671209335327,41,1.4638553202887785,1744674743.7771773
1.9622446674493703,2.4230502238370693,46,850.8315668106079,0.46080555638769877,848.1873607635498,42,1.2312992252361248,1744674815.7970889
0.6985095134554652,0.7746851207697744,50,922.8664703369141,0.07617560731430918,920.2221436500549,43,0.7294393074956756,1744674887.8319924
0.30560616538721946,0.3540005591723224,55,1012.8790578842163,0.048394393785102977,1010.2352287769318,44,0.4651246314534464,1744674977.84458
0.1337379873715966,0.1477005469216284,61,1120.909542798996,0.013962559550031806,1118.265210390091,45,0.32042933445201427,1744675085.8750648
0.1337368030537863,0.14389060546562943,67,1228.9151442050934,0.01015380241184314,1226.2707839012146,46,0.2578943593771152,1744675193.8806663
0.04848228706174919,0.061154420020992036,73,1336.9453597068787,0.01267213295924285,1334.301120519638,47,0.21011910878796086,1744675301.9108818
0.02248283203508516,0.032999706541158434,81,1480.9924263954163,0.010516874506073273,1478.3482172489166,48,0.1470622251449466,1744675445.9579484
0.02011260133847682,0.029191797986132285,89,1625.0750522613525,0.009079196647655467,1622.4306888580322,49,0.11318445441348741,1744675590.0405743
