loss_interior,time,l2_error,loss_boundary,step,_runtime,loss,_step,_timestamp
2.1538613795600046e-05,4.771712064743042,0.08769268299239351,0.005801533704768911,42,7.423025131225586,0.005823072318564511,41,1753913831.4190912
1.9077648019441378e-05,5.1598381996154785,0.07230978644845298,0.0038584420716399593,46,7.81121563911438,0.0038775197196594005,42,1753913831.8072817
1.6276327769590957e-05,5.543853521347046,0.05974621180076212,0.0028519176260908873,50,8.195153951644897,0.0028681939538604782,43,1753913832.19122
1.3720217613060066e-05,6.025622129440308,0.04675937926870854,0.0014377244866623725,55,8.677030563354492,0.0014514447042754325,44,1753913832.6730967
8.845867331309904e-06,6.604456663131714,0.03488269083836539,0.0009584755434925076,61,9.256020545959473,0.0009673214108238175,45,1753913833.2520866
6.163563527274108e-06,7.183228254318237,0.02642065385666482,0.0005052736303096651,67,9.834598064422607,0.0005114371938369392,46,1753913833.8306642
4.459228513039088e-06,7.761157512664795,0.01978440733101608,0.0002609423166103512,73,10.412594318389893,0.00026540154512339024,47,1753913834.4086604
6.3902970848008625e-06,8.527776718139648,0.013676398951629027,0.00013218104215796374,81,11.179325103759766,0.0001385713392427646,48,1753913835.1753912
1.5612217191810384e-06,9.296234607696533,0.009474892659161313,5.328910795861366e-05,89,11.94756817817688,5.48503296777947e-05,49,1753913835.9436343
1.705464309988985e-06,10.161229848861694,0.006319975873685948,2.4410522478361233e-05,98,12.81285047531128,2.6115986788350217e-05,50,1753913836.8089166
6.811810903974263e-07,11.027392625808716,0.004191911036738878,1.196158614598466e-05,107,13.678817510604858,1.2642767236382088e-05,51,1753913837.6748836
7.705025191637189e-07,12.08919906616211,0.0027055212986144615,5.907911752656124e-06,118,14.740634679794312,6.678414271819842e-06,52,1753913838.7367008
6.06240869872295e-07,13.245657444000244,0.0018923774371999377,1.7982142227848556e-06,130,15.89724063873291,2.4044550926571508e-06,53,1753913839.8933067
3.643905357083292e-07,14.49193525314331,0.0015473235591833205,1.6323394112892752e-06,143,17.143309354782104,1.9967299469976044e-06,54,1753913841.1393754
4.6179083736280144e-07,15.837526321411133,0.0012293559924953486,1.492786035312185e-06,157,18.488897800445557,1.9545768726749864e-06,55,1753913842.484964
2.3664675650643735e-07,17.274292945861816,0.0010359963239445187,8.593860611332747e-07,172,19.925636529922485,1.096032817639712e-06,56,1753913843.9217026
2.386642305459991e-07,19.002384185791016,0.0008738482471136292,1.2963184659534609e-06,190,21.654024600982666,1.53498269649946e-06,57,1753913845.6500907
1.2598559193648802e-07,20.731003284454346,0.0007906380245995398,5.812034323313379e-07,208,23.382441759109497,7.071890242678259e-07,58,1753913847.3785079
1.3565590707767466e-07,22.744098901748657,0.0007234880244253828,4.4451042178061e-07,229,25.395455837249756,5.801663288582846e-07,59,1753913849.391522
2.3342950356602108e-07,24.951351165771484,0.000642850139844852,3.620456688565922e-07,252,27.602988958358765,5.954751724226133e-07,60,1753913851.599055
6.059520179362063e-08,27.349055528640747,0.0006066567335817905,2.778245301163451e-07,277,30.00048565864563,3.3841973190996576e-07,61,1753913853.9965518
1.0141665011489347e-07,30.03789758682251,0.0005649429603426738,2.3142311838102416e-07,305,32.68946552276611,3.3283976849591763e-07,62,1753913856.6855316
6.999877292442306e-08,32.91815900802612,0.0005195409045120234,2.3669481560958228e-07,335,35.56961989402771,3.0669358853400535e-07,63,1753913859.565686
7.89091777632134e-08,36.176114559173584,0.00046634592162362134,1.640807256826271e-07,369,38.827452182769775,2.429899034458405e-07,64,1753913862.8235183
4.870768418109743e-08,39.70858907699585,0.00046245128961532197,1.1843530886512956e-07,406,42.360191345214844,1.6714299304622699e-07,65,1753913866.3562574
6.781259789252057e-08,43.51467180252075,0.0004139093325521779,1.3118648281587388e-07,446,46.1661741733551,1.9899908070839445e-07,66,1753913870.1622403
3.3511171209021605e-08,47.759594678878784,0.0003826299521704813,2.1880460488284645e-07,491,50.41118597984314,2.523157760918681e-07,67,1753913874.407252
2.8833338459619896e-08,52.39930462837219,0.0003621488130630613,1.0732395690756282e-07,540,55.05070781707764,1.3615729536718273e-07,68,1753913879.046774
3.118939118701889e-08,57.484265089035034,0.000341528071507529,9.03303681977675e-08,594,60.135826587677,1.2151975938478639e-07,69,1753913884.1318927
3.4832524442763496e-08,63.07363748550415,0.0003105223208663487,1.1091826678935391e-07,653,65.72515082359314,1.4575079123211742e-07,70,1753913889.721217
2.530257153840343e-08,69.21494555473328,0.00030347918283339485,1.4452838728197323e-07,718,71.8666045665741,1.6983095882037665e-07,71,1753913895.8626707
3.0170720991964066e-08,76.00075960159302,0.0002826986662050525,4.9680698798839753e-08,790,78.65215492248535,7.985141979080382e-08,72,1753913902.648221
2.271072654534528e-08,83.46708154678345,0.00027504286068967434,7.049018712580322e-08,869,86.1184675693512,9.32009136711485e-08,73,1753913910.1145337
1.6009706030767322e-08,91.69607162475586,0.00025682473395841944,8.238370965144863e-08,956,94.34758162498474,9.839341568221595e-08,74,1753913918.3436477
1.402735548977462e-08,100.75897860527039,0.0002401888155988789,4.563156498886638e-08,1052,103.41036605834961,5.9658920478641e-08,75,1753913927.4064322
1.619286051507418e-08,110.67797112464905,0.0002333321066831464,4.281805947639769e-08,1157,113.32961320877075,5.901091999147187e-08,76,1753913937.3256793
9.230192623380868e-09,121.5347158908844,0.00021226642547751844,3.032853299569566e-08,1272,124.18622374534607,3.955872561907653e-08,77,1753913948.1822898
1.0726688051507727e-08,133.61259651184082,0.00022278733662263526,2.689859674829545e-08,1400,136.2642629146576,3.7625284799803177e-08,78,1753913960.260329
1.351279488769146e-08,146.73887085914612,0.0001959924983767643,3.389952549433348e-08,1539,149.3903067111969,4.741232038202494e-08,79,1753913973.3863728
1.614074479379018e-08,161.37891793251038,0.00018613809887685345,1.868225390010022e-08,1693,164.03054428100586,3.4822998693890396e-08,80,1753913988.0266104
7.805533373521688e-09,177.5213086605072,0.0001763374393842361,2.1130054030688605e-08,1863,180.17271971702576,2.8935587404210292e-08,81,1753914004.1687858
4.133021713048399e-08,195.18743634223938,0.00017293327650423623,3.0476503065477075e-08,2049,197.83896780014038,7.180672019596106e-08,82,1753914021.835034
8.51883496487745e-09,214.57066440582275,0.000166259227488723,2.4846523022762288e-08,2254,217.22205996513367,3.3365357987639734e-08,83,1753914041.218126
7.059410231314025e-09,235.8289291858673,0.0001489143189084108,1.4695447955650591e-08,2479,238.48057413101196,2.1754858186964616e-08,84,1753914062.4766402
4.793143747300465e-09,259.24149775505066,0.00014595868738947546,1.192605246596841e-08,2727,261.8929090499878,1.6719196213268876e-08,85,1753914085.8889751
4.584369926321898e-09,285.0312581062317,0.00014365555066493834,1.0308764579806954e-08,3000,287.68276166915894,1.4893134506128852e-08,86,1753914111.6788278
9.237454159002007e-09,313.31146216392517,0.00012937396324112606,2.0953004708858114e-08,3299,315.96302008628845,3.019045886786012e-08,87,1753914139.9590862
6.392560923615503e-09,344.68230748176575,0.0001308804546992188,9.272654547220683e-09,3629,347.3336956501007,1.5665215470836185e-08,88,1753914171.3297617
5.358875676715344e-09,379.08341884613037,0.0001223176297405872,9.885637964566127e-09,3992,381.73495984077454,1.5244513641281473e-08,89,1753914205.731026
2.794977212298791e-09,416.76967310905457,0.00011617286002708247,1.1870807036706056e-08,4391,419.42126393318176,1.4665784249004847e-08,90,1753914243.41733
2.6669247981935682e-09,458.3367714881897,0.00010940654030420563,9.529919723302615e-09,4831,460.9884421825409,1.2196844521496182e-08,91,1753914284.9845083
2.4054055637211828e-09,504.19079065322876,0.00010542724811265156,5.66021696065335e-09,5314,506.84245014190674,8.065622524374532e-09,92,1753914330.8385162
3.2274989282165774e-09,554.5552890300751,0.00010008868928264873,1.1162172735125179e-08,5845,557.2070138454437,1.4389671663341755e-08,93,1753914381.20308
4.205134335337953e-09,609.7004044055939,9.472650335331277e-05,1.0997238722867774e-08,6429,612.3518884181976,1.5202373058205728e-08,94,1753914436.3479545
2.7914641314246343e-09,670.721757888794,8.929212902796164e-05,6.054021068594223e-09,7072,673.3734683990479,8.845485200018856e-09,95,1753914497.3695345
1.5264395343423123e-09,737.9234383106232,9.195551290449327e-05,5.89601762911581e-09,7779,740.5750045776367,7.422457163458122e-09,96,1753914564.5710707
1.5538190391416483e-09,811.8534958362579,8.280238509978825e-05,6.826069239239593e-09,8557,814.5052058696747,8.379888278381241e-09,97,1753914638.501272
