_timestamp,loss_interior,loss,step,l2_error,time,_runtime,loss_boundary,_step
1746100344.2370074,72.68624526751567,73.54892200853106,55,1.206533895733436,14.083686351776123,16.62817645072937,0.8626767410153889,44
1746100345.5512,68.60433452822933,69.44335705480945,61,1.1791323125721165,15.39791226387024,17.942368984222412,0.8390225265801187,45
1746100346.8695607,68.74886574933976,69.49529955967293,67,1.1524252361489706,16.716169118881226,19.260729789733887,0.7464338103331659,46
1746100348.1885836,64.5026506929962,65.2423129014582,73,1.1265468122775386,18.035227060317993,20.579752683639526,0.7396622084620013,47
1746100349.9401085,59.88886757497607,60.56778376393441,81,1.0932037728715613,19.786699533462524,22.33127760887146,0.6789161889583398,48
1746100351.6892662,54.70744564809495,55.410893223118826,89,1.060774359375492,21.536003589630127,24.080435276031494,0.7034475750238779,49
1746100353.657803,52.483757575355895,53.12839883162021,98,1.0257902426012546,23.504528284072876,26.048972129821777,0.6446412562643117,50
1746100355.6307817,48.18510858482942,48.78834145416613,107,0.9920459775714352,25.477446794509888,28.021950721740723,0.6032328693367083,51
1746100358.0389836,45.49220709792545,46.00528135823439,118,0.9527377156858323,27.885660409927368,30.430152654647827,0.5130742603089429,52
1746100360.6690278,41.25196456076633,41.76440597643823,130,0.911699905738168,30.515673398971558,33.06019687652588,0.5124414156718983,53
1746100363.5157733,37.45312364223932,37.875564859467765,143,0.8697594657329717,33.362515926361084,35.90694236755371,0.4224412172284432,54
1746100366.6092188,34.293332590102466,34.68913719679582,157,0.8269028105268589,36.455878496170044,39.0003879070282,0.3958046066933534,55
1746100369.8901398,30.226982659751073,30.62672695560739,172,0.783686473870422,39.73672556877136,42.28130888938904,0.3997442958563144,56
1746100373.8482857,26.921259589366006,27.21943960574893,190,0.7351076981933071,43.69467878341675,46.23945474624634,0.2981800163829263,57
1746100377.7858105,23.912853286687284,24.19362506390474,208,0.690339651789258,47.632426500320435,50.176979541778564,0.280771777217458,58
1746100382.387754,20.60928201374753,20.845475948489245,229,0.6416624679480009,52.234498023986816,54.77892303466797,0.23619393474171194,59
1746100387.509195,16.92009097418576,17.15056593053955,252,0.5932891828211767,57.355769872665405,59.90036416053772,0.2304749563537899,60
1746100392.988729,14.53832585111529,14.708137454333402,277,0.5446260069909652,62.8350989818573,65.37989807128906,0.16981160321811123,61
1746100399.123091,12.112407389573676,12.267624161277155,305,0.49540724105871786,68.96978807449341,71.51426005363464,0.15521677170347856,62
1746100405.6863198,9.780432939488344,9.897738587733315,335,0.4472044728484098,75.53299236297607,78.07748889923096,0.11730564824497139,63
1746100413.1165676,7.820959252621974,7.91245522058824,369,0.39812912999618166,82.96325445175171,85.50773668289185,0.09149596796626554,64
1746100421.1981795,5.804952853874897,5.879435851632108,406,0.3510942134766657,91.04457330703735,93.5893485546112,0.07448299775721048,65
1746100429.920604,4.56359893834812,4.6215901909634685,446,0.3061784617817119,99.76719307899475,102.31177306175232,0.057991252615348744,66
1746100439.7466645,3.386429236478691,3.4247663804500377,491,0.2625183554253162,109.59331965446472,112.13783359527588,0.03833714397134683,67
1746100450.4688544,2.472110002281303,2.501332042698421,540,0.22156542578125157,120.31551313400269,122.86002349853516,0.029222040417117782,68
1746100462.278131,1.6640728940546674,1.6839958009311753,594,0.18389114680479726,132.1247808933258,134.6693000793457,0.019922906876507877,69
1746100475.2521548,1.1517672970755428,1.1668749139217847,653,0.14974148863259015,145.0986363887787,147.64332389831543,0.01510761684624188,70
1746100489.5010512,0.7045409299123075,0.7125521027946602,718,0.1189473186941628,159.34734582901,161.89222025871277,0.008011172882352608,71
1746100505.25307,0.42200085697318535,0.4269244325527185,790,0.09191457339399568,175.09968543052673,177.6442391872406,0.004923575579533172,72
1746100522.4798727,0.2315810265924017,0.23453941701570433,869,0.06917371157669674,192.32607245445251,194.87104177474976,0.002958390423302629,73
1746100541.4942229,0.12880687615684908,0.1302864483041869,956,0.05030440684868371,211.34073328971863,213.8853919506073,0.001479572147337818,74
1746100562.4249413,0.06243357475480229,0.0631997435416955,1052,0.03549242921675774,232.27129364013672,234.81611037254333,0.000766168786893207,75
1746100585.4721472,0.029073757746696134,0.02941742924598486,1157,0.024077024329794968,255.31855082511902,257.8633162975311,0.00034367149928872385,76
1746100610.6999063,0.012240213155671576,0.012396587186129198,1272,0.015780627102595774,280.5461223125458,283.09107542037964,0.00015637403045762227,77
1746100638.9303765,0.004663429003377211,0.004728985405451513,1400,0.009900678449137982,308.77662992477417,311.3215456008911,6.555640207430206e-05,78
1746100669.4283946,0.0016727177824684151,0.001695290554297772,1539,0.005964988942886937,339.2747278213501,341.81956362724304,2.2572771829357e-05,79
1746100703.318411,0.0005303319859289437,0.0005379081200930597,1693,0.0034775354896864658,373.16475653648376,375.7095801830292,7.576134164115974e-06,80
1746100741.3219798,0.00015072712336346706,0.000153980061121869,1863,0.0020276916987678854,411.1682114601135,413.71314883232117,3.252937758401947e-06,81
1746100783.0351017,3.9289252019632305e-05,4.104511647980138e-05,2049,0.0013287520094478868,452.88137769699097,455.4262707233429,1.755864460169073e-06,82
