_timestamp,loss,_runtime,time,l2_error,loss_boundary,loss_interior,step,_step
1746100277.2628827,140.10060513140397,21.56584668159485,19.039926528930664,1.3110826025017106,0.9797252006441445,139.12087993075983,55,44
1746100279.1181383,133.8983045785477,23.421102285385132,20.895147800445557,1.2901977647640468,0.9343363782857506,132.96396820026195,61,45
1746100280.9866548,133.78978163100314,25.289618730545044,22.763644456863403,1.2697428694897905,0.9449937155792063,132.84478791542392,67,46
1746100282.837326,125.565256973867,27.140290021896362,24.614189863204956,1.249351267278229,0.9156505781258297,124.64960639574116,73,47
1746100285.2994435,121.81211499081682,29.602407455444336,27.076476097106934,1.2227635553198843,0.9135030184491061,120.89861197236772,81,48
1746100287.769239,114.36650307761126,32.072202920913696,29.546336889266968,1.1962759370454754,0.8435056284961517,113.52299744911511,89,49
1746100290.535638,113.06537423427467,34.83860206604004,32.31265830993652,1.1667981211745653,0.8004422709373005,112.26493196333738,98,50
1746100293.2990746,102.91145358860638,37.602038621902466,35.07608222961426,1.1358143579210354,0.7553640153969851,102.1560895732094,107,51
1746100296.6920953,98.62660648079758,40.99505925178528,38.469074010849,1.0988040711923286,0.7265413906256875,97.90006509017189,118,52
1746100300.3751285,84.69266868840111,44.67809247970581,42.15188503265381,1.058717364558812,0.6674512377126265,84.02521745068849,130,53
1746100304.3639684,85.19065809486783,48.666932344436646,46.141011476516724,1.014988819024003,0.5449086048095028,84.64574949005832,143,54
1746100308.6575994,74.72583306699022,52.96056342124939,50.434690713882446,0.9686006566247936,0.4995881614891072,74.22624490550112,157,55
1746100313.2689464,64.61778016622503,57.57191038131714,55.04600238800049,0.919182600954939,0.5299398639510169,64.08784030227402,172,56
1746100318.7821243,61.05551164158253,63.08508825302124,60.5591926574707,0.8616323317586533,0.44275457295006426,60.61275706863246,190,57
1746100324.2933373,51.67702417407915,68.59630131721497,66.0701835155487,0.8045818932067486,0.4130609085334645,51.263963265545684,208,58
1746100330.7138965,43.5979336011223,75.0168604850769,72.49099135398865,0.739345109052326,0.3239406739107346,43.273992927211566,229,59
1746100337.7382038,35.12774788681004,82.04116773605347,79.51531744003296,0.6697503487266415,0.2889623239970033,34.83878556281304,252,60
1746100345.3923085,27.874580393214153,89.69527244567871,87.16900944709778,0.5946749385472263,0.1982310812873052,27.67634931192685,277,61
1746100353.966804,21.963660988060184,98.26976799964905,95.74390006065369,0.510824296262368,0.1610938636264871,21.802567124433697,305,62
1746100363.1437654,14.775824607006744,107.4467294216156,104.92086386680603,0.42649931803183166,0.1035510940924067,14.672273512914337,335,63
1746100373.5521886,9.223557353514389,117.85515260696411,115.32898044586182,0.33632798979040435,0.06863671907575257,9.154920634438636,369,64
1746100384.8708158,4.829410190416525,129.17377972602844,126.64785814285278,0.2484997263080236,0.04012068033476409,4.789289510081761,406,65
1746100397.0928185,2.2510458520035947,141.39578247070312,138.8699598312378,0.16711694661570461,0.01650079366893884,2.234545058334656,446,66
1746100410.8594048,0.6632003088531858,155.16236877441406,152.63622093200684,0.09402860441776996,0.0049705378770977336,0.658229770976088,491,67
1746100425.8512974,0.1392649384598141,170.1542613506317,167.62836742401123,0.04031221430098745,0.00099300362387663,0.13827193483593747,540,68
1746100442.4207854,0.010091494315194979,186.72374939918518,184.19779348373413,0.011434326668138066,8.174892030790041e-05,0.010009745394887078,594,69
1746100460.5107007,0.00016245865233652563,204.8136646747589,202.2874948978424,0.0022889716285873964,5.2202673514599334e-06,0.0001572383849850657,653,70
1746100480.4529746,1.3484904143304444e-05,224.75593852996826,222.2300159931183,0.0013057711750853371,2.2656946126957123e-06,1.1219209530608732e-05,718,71
1746100502.5530536,8.404276355424364e-06,246.8560175895691,244.32984805107117,0.0009976002295020601,1.3257206777068632e-06,7.0785556777175e-06,790,72
1746100526.7659147,4.743453883541631e-06,271.0688786506653,268.54278588294983,0.0007953888314573726,8.623638491477177e-07,3.8810900343939136e-06,869,73
1746100553.488624,3.492801791802029e-06,297.7915880680084,295.2654094696045,0.0006622266569590679,6.243137404112265e-07,2.8684880513908025e-06,956,74
1746100582.9697034,2.9352142635334245e-06,327.2726674079895,324.7464487552643,0.0005425685412368348,4.6730763422109324e-07,2.4679066293123315e-06,1052,75
1746100615.15526,1.7428676369627078e-06,359.45822405815125,356.93222403526306,0.0004664987885705979,3.6145925944408965e-07,1.3814083775186182e-06,1157,76
1746100650.453723,1.3097833750855752e-06,394.75668692588806,392.2305688858032,0.0004054200431638743,2.9947052021943013e-07,1.0103128548661451e-06,1272,77
1746100689.7172306,9.923001933857909e-07,434.02019453048706,431.49399638175964,0.000360967283103998,2.398616695854637e-07,7.524385238003271e-07,1400,78
1746100732.3319278,1.1596142336361933e-06,476.63489174842834,474.1087384223938,0.0003269290145461315,1.7380935878131697e-07,9.858048748548763e-07,1539,79
1746100779.5503583,6.45328040940592e-07,523.8533222675323,521.3271727561951,0.00030701454899835815,1.4651790099715532e-07,4.988101399434368e-07,1693,80
1746100831.6710157,6.237184613383786e-07,575.9739797115326,573.447811126709,0.00029100246306382253,1.3137584167308124e-07,4.923426196652973e-07,1863,81
1746100888.7213428,8.057250739603989e-07,633.0243067741394,630.4982039928436,0.0003346149910246798,1.5481113910786144e-07,6.509139348525374e-07,2049,82
1746100951.568757,2.0681759151673643e-06,695.8717210292816,693.3455877304077,0.000522843930495728,2.8024199775995994e-07,1.7879339174074042e-06,2254,83
1746101020.5545573,8.75791886272913e-06,764.8575212955475,762.3312282562256,0.0010522073056580985,1.0305037070599809e-06,7.72741515566915e-06,2479,84
1746101096.6352143,2.916131988390624e-05,840.9381783008575,838.4119417667389,0.001833620241675192,3.4108764502255163e-06,2.5750443433680724e-05,2727,85
1746101180.3635685,7.158531856725271e-05,924.6665325164795,922.1404061317444,0.0027965389146639456,7.478490141744568e-06,6.410682842550814e-05,3000,86
1746101272.042449,0.00013447777977031056,1016.3454129695892,1013.8192143440247,0.0036533627343866533,1.1653131019151825e-05,0.00012282464875115873,3299,87
1746101373.341206,0.0002203472972598399,1117.6441700458527,1115.1179933547974,0.004447032933066108,1.5276339388280338e-05,0.00020507095787155956,3629,88
1746101484.6806297,0.0003399861790148401,1228.9835937023163,1226.4573917388916,0.0052040817252939926,2.123513563121622e-05,0.0003187510433836239,3992,89
1746101607.026942,0.0004629474741808717,1351.329905986786,1348.8036711215973,0.005833384082575214,2.6968167300190886e-05,0.00043597930688068083,4391,90
1746101741.9436953,0.0005497007070801464,1486.2466592788696,1483.7204411029816,0.006036753680318921,2.582184789406618e-05,0.0005238788591860802,4831,91
1746101890.156742,0.0005862827915054107,1634.459706068039,1631.9334423542023,0.006068495380456466,3.015221986646457e-05,0.0005561305716389462,5314,92
1746102053.0546327,0.0005401927923416443,1797.3575966358185,1794.8315026760101,0.005595135726410735,2.259091225602494e-05,0.0005176018800856194,5845,93
1746102232.134012,0.0004009755718414064,1976.4369759559631,1973.9107422828674,0.004800452249376773,2.0510991456646534e-05,0.00038046458038475985,6429,94
1746102429.3996046,0.0002707803174759349,2173.7025685310364,2171.176388025284,0.003839347822879416,1.0407577218668083e-05,0.0002603727402572668,7072,95
1746102646.265306,0.0001012890631142639,2390.568269968033,2388.042136192322,0.0023020048480683892,4.373161796686355e-06,9.691590131757754e-05,7779,96
1746102884.8872023,5.705921764626247e-06,2629.19016623497,2626.664034128189,0.0005475614571320547,2.3392477899838637e-07,5.4719969856278605e-06,8557,97
1746103147.4181192,7.874950215941979e-08,2891.721083164215,2889.1948969364166,0.00011912017649088957,1.976851819331155e-08,5.8980983966108245e-08,9413,98
1746103435.9488113,5.4063730003015093e-08,3180.25177526474,3177.7255833148956,9.046085413497236e-05,1.3313383913767048e-08,4.0750346089248045e-08,10354,99
1746103753.032549,3.917041088870072e-08,3497.3355128765106,3494.8093028068542,7.348747587504188e-05,8.540270182170384e-09,3.0630140706530333e-08,11389,100
1746104101.435948,2.773453625867332e-08,3845.7389118671417,3843.2127528190613,6.082826457372311e-05,5.401196714346463e-09,2.2333339544326858e-08,12528,101
1746104484.7771049,2.314387642322369e-08,4229.080068826675,4226.553877592087,4.982707871433483e-05,4.423094473457267e-09,1.8720781949766423e-08,13781,102
1746104906.1223342,1.8565931034727388e-08,4650.425298213959,4647.899183750153,4.624140238173701e-05,3.3439472366305562e-09,1.5221983798096833e-08,15159,103
1746105370.9635959,1.4851130018766725e-08,5115.266559839249,5112.740365743637,4.0241119476667156e-05,2.4268238965355357e-09,1.242430612223119e-08,16675,104
1746105881.6139133,1.3206010929226425e-08,5625.916877269745,5623.390736579895,3.912192051755342e-05,1.982274067985709e-09,1.1223736861240716e-08,18342,105
1746106443.1854331,1.0124004758196388e-08,6187.488397121429,6184.962270259857,3.50403365807207e-05,1.9491240235595035e-09,8.174880734636885e-09,20177,106
1746107060.6236093,9.632226483887328e-09,6804.92657327652,6802.400424718857,3.21731633533323e-05,1.4877862612122135e-09,8.144440222675115e-09,22194,107
1746107258.2853038,9.129235736801945e-09,7002.588267803192,7000.062117815018,3.106810431562655e-05,1.7677661802950178e-09,7.361469556506927e-09,22840,108
